scenario,method,hypothesis_group_id,root_source,edge_source,edge_target,source,target,parameter,direction,manipulation_level,manipulation_success,source_significant,target_significant,propagation_order_supported,primary_class,underlying_class,intervention_scope,root_onset,source_onset,target_onset,intervention_delay,observational_lag,observational_beta,lag_difference,temporal_direction_concordant,lag_concordant,root_effect,source_effect,target_effect,not_applicable_reason
deffuant,unrestricted_temporal_search,unrestricted,,d_macro_0,d_macro_1,d_macro_0,d_macro_1,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,3,0.0446022682562725,,,,,,,no_legal_upstream_micro_manipulation_root
deffuant,unrestricted_temporal_search,unrestricted,,d_macro_0,d_macro_2,d_macro_0,d_macro_2,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,1,-0.06416172785516912,,,,,,,no_legal_upstream_micro_manipulation_root
deffuant,unrestricted_temporal_search,unrestricted,,d_macro_0,d_meso_2,d_macro_0,d_meso_2,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,1,0.02434532893580355,,,,,,,no_legal_upstream_micro_manipulation_root
deffuant,unrestricted_temporal_search,unrestricted,,d_macro_0,d_micro_assimilation,d_macro_0,d_micro_assimilation,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,4,0.05417497667188195,,,,,,,no_legal_upstream_micro_manipulation_root
deffuant,unrestricted_temporal_search,unrestricted,,d_macro_0,d_micro_repulsion,d_macro_0,d_micro_repulsion,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,4,-0.051950275356544964,,,,,,,no_legal_upstream_micro_manipulation_root
deffuant,unrestricted_temporal_search,unrestricted,,d_macro_1,d_macro_0,d_macro_1,d_macro_0,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,1,0.111230525876827,,,,,,,no_legal_upstream_micro_manipulation_root
deffuant,unrestricted_temporal_search,unrestricted,,d_macro_1,d_meso_2,d_macro_1,d_meso_2,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,2,-0.06189188762610889,,,,,,,no_legal_upstream_micro_manipulation_root
deffuant,unrestricted_temporal_search,unrestricted,,d_macro_1,d_micro_assimilation,d_macro_1,d_micro_assimilation,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,1,-0.0369267367777447,,,,,,,no_legal_upstream_micro_manipulation_root
deffuant,unrestricted_temporal_search,unrestricted,,d_macro_2,d_macro_0,d_macro_2,d_macro_0,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,1,-0.07714539624520202,,,,,,,no_legal_upstream_micro_manipulation_root
deffuant,unrestricted_temporal_search,unrestricted,,d_macro_2,d_macro_1,d_macro_2,d_macro_1,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,5,-0.08032219111305024,,,,,,,no_legal_upstream_micro_manipulation_root
deffuant,unrestricted_temporal_search,unrestricted,,d_macro_2,d_meso_0,d_macro_2,d_meso_0,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,1,-0.03019198754146642,,,,,,,no_legal_upstream_micro_manipulation_root
deffuant,unrestricted_temporal_search,unrestricted,,d_macro_3,d_meso_2,d_macro_3,d_meso_2,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,4,0.04027341106718916,,,,,,,no_legal_upstream_micro_manipulation_root
deffuant,unrestricted_temporal_search,unrestricted,,d_macro_3,d_micro_repulsion,d_macro_3,d_micro_repulsion,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,5,0.06982283708728905,,,,,,,no_legal_upstream_micro_manipulation_root
deffuant,unrestricted_temporal_search,unrestricted,,d_macro_3,d_micro_shift,d_macro_3,d_micro_shift,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,5,-0.06328137664308546,,,,,,,no_legal_upstream_micro_manipulation_root
deffuant,unrestricted_temporal_search,unrestricted,d_micro_assimilation,d_meso_0,d_macro_0,d_meso_0,d_macro_0,confidence_bound,minus,micro,True,True,True,True,supported,supported,upstream_mediated,0,1,3,2.0,2,0.31245414997298254,0.0,True,True,-0.8313759904925954,-0.7154878685723034,-1.3586201874470116,
deffuant,unrestricted_temporal_search,unrestricted,d_micro_assimilation,d_meso_0,d_macro_0,d_meso_0,d_macro_0,confidence_bound,plus,micro,True,True,True,True,supported,supported,upstream_mediated,0,1,3,2.0,2,0.31245414997298254,0.0,True,True,0.6414189382753075,0.5894890890492422,4.720456307209286,
deffuant,unrestricted_temporal_search,unrestricted,,d_meso_0,d_macro_1,d_meso_0,d_macro_1,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,5,-0.0488315232434397,,,,,,,no_legal_upstream_micro_manipulation_root
deffuant,unrestricted_temporal_search,unrestricted,,d_meso_0,d_macro_2,d_meso_0,d_macro_2,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,5,0.05726679067627569,,,,,,,no_legal_upstream_micro_manipulation_root
deffuant,unrestricted_temporal_search,unrestricted,,d_meso_0,d_micro_assimilation,d_meso_0,d_micro_assimilation,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,5,0.070284788096942,,,,,,,no_legal_upstream_micro_manipulation_root
deffuant,unrestricted_temporal_search,unrestricted,,d_meso_0,d_micro_repulsion,d_meso_0,d_micro_repulsion,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,5,-0.07627776276669648,,,,,,,no_legal_upstream_micro_manipulation_root
deffuant,unrestricted_temporal_search,unrestricted,d_micro_shift,d_meso_1,d_macro_1,d_meso_1,d_macro_1,assimilation_strength,minus,micro,False,False,False,True,manipulation_failure,manipulation_failure,upstream_mediated,0,2,6,4.0,3,0.10294669466872643,1.0,True,True,-0.08623456846061121,-0.0240320091550645,-0.040212606061237284,
