evaluation_track,scenario,method,indicator_count,candidate_edge_count,retained_edge_count,temporal_qualification_rate,temporal_metric_reason,stability,lag_support,lag_std,representation_agreement,runtime_seconds,edge_f1,shd,lag_mae,direction_accuracy,reference_metric_reason,intervention_support_rate,contradiction_rate,intervention_metric_reason,mean_ci_width,edge_precision,edge_recall,intervention_f1,eligible_truth_edge_count,supported_truth_edge_count,intervention_precision,intervention_recall
full_discovery,deffuant,full_method,28.0,28.0,16.0,0.5714285714285714,temporally_qualified,0.93,0.7581249999999999,0.7480202113914308,0.4489550753478866,48.52812679999988,,,,,not_applicable_without_generated_to_hidden_alignment,0.5625,0.0,applicable_edges_after_frozen_attempt_aggregation;directional_contradiction_precedes_support,0.2643817368863021,,,,,,,
full_discovery,deffuant,llm_semantic_proposal,28.0,28.0,28.0,,not_temporally_qualified,,,,0.4489550753478866,0.0,,,,,not_applicable_without_generated_to_hidden_alignment,,,not_applicable_semantic_proposal,,,,,,,,
full_discovery,deffuant,single_trajectory,28.0,28.0,9.0,0.3214285714285714,temporally_qualified,,,,0.4489550753478866,0.0082681000003503,,,,,not_applicable_without_generated_to_hidden_alignment,0.5555555555555556,0.0,applicable_edges_after_frozen_attempt_aggregation;directional_contradiction_precedes_support,0.2643817368863021,,,,,,,
full_discovery,deffuant,trajectory_vote,28.0,28.0,7.0,0.25,temporally_qualified,0.6845238095238095,0.2797619047619047,1.5811593786951776,0.4489550753478866,0.231437200000073,,,,,not_applicable_without_generated_to_hidden_alignment,0.5714285714285714,0.0,applicable_edges_after_frozen_attempt_aggregation;directional_contradiction_precedes_support,0.2643817368863021,,,,,,,
full_discovery,deffuant,unrestricted_temporal_search,28.0,756.0,265.0,0.3505291005291005,temporally_qualified,0.8733962264150943,0.5193584905660377,1.113225163551152,0.4489550753478866,81.32157390000066,,,,,not_applicable_without_generated_to_hidden_alignment,0.5294117647058824,0.0,applicable_edges_after_frozen_attempt_aggregation;directional_contradiction_precedes_support,0.2643817368863021,,,,,,,
full_discovery,schelling,full_method,28.0,29.0,28.0,0.9655172413793104,temporally_qualified,0.9732142857142856,0.5792857142857143,1.089503944014692,0.4482727391322191,48.6935169999997,,,,,not_applicable_without_generated_to_hidden_alignment,0.5357142857142857,0.0,applicable_edges_after_frozen_attempt_aggregation;directional_contradiction_precedes_support,0.30057473897761217,,,,,,,
full_discovery,schelling,llm_semantic_proposal,28.0,29.0,29.0,,not_temporally_qualified,,,,0.4482727391322191,0.0,,,,,not_applicable_without_generated_to_hidden_alignment,,,not_applicable_semantic_proposal,,,,,,,,
full_discovery,schelling,single_trajectory,28.0,29.0,24.0,0.8275862068965517,temporally_qualified,,,,0.4482727391322191,0.0099736000011034,,,,,not_applicable_without_generated_to_hidden_alignment,0.5416666666666666,0.0,applicable_edges_after_frozen_attempt_aggregation;directional_contradiction_precedes_support,0.30057473897761217,,,,,,,
full_discovery,schelling,trajectory_vote,28.0,29.0,26.0,0.896551724137931,temporally_qualified,0.8125,0.3253205128205128,1.374688669381224,0.4482727391322191,0.2424479000001156,,,,,not_applicable_without_generated_to_hidden_alignment,0.5384615384615384,0.0,applicable_edges_after_frozen_attempt_aggregation;directional_contradiction_precedes_support,0.30057473897761217,,,,,,,
full_discovery,schelling,unrestricted_temporal_search,28.0,756.0,497.0,0.6574074074074074,temporally_qualified,0.9432193158953722,0.4545271629778672,1.1912136745046338,0.4482727391322191,87.25681689999874,,,,,not_applicable_without_generated_to_hidden_alignment,0.5277777777777778,0.0,applicable_edges_after_frozen_attempt_aggregation;directional_contradiction_precedes_support,0.30057473897761217,,,,,,,
controlled_recovery,deffuant,full_method,,,11.0,,,0.93,,,,48.009549600001264,0.8421052631578948,3.0,0.0,1.0,,,,eligible_truth_edges_only,0.1372981531798031,0.7272727272727273,1.0,0.8,6.0,4.0,1.0,0.6666666666666666
controlled_recovery,deffuant,single_trajectory,,,8.0,,,,,,,0.0068203000009816,0.875,2.0,0.0,1.0,,,,eligible_truth_edges_only,0.1372981531798031,0.875,0.875,0.8,6.0,4.0,1.0,0.6666666666666666
controlled_recovery,deffuant,trajectory_vote,,,7.0,,,0.9166666666666669,,,,0.1548118999999133,0.9333333333333332,1.0,0.0,1.0,,,,eligible_truth_edges_only,0.1372981531798031,1.0,0.875,0.8,6.0,4.0,1.0,0.6666666666666666
controlled_recovery,deffuant,unrestricted_temporal_search,,,54.0,,,0.8916666666666667,,,,52.17755430000034,0.2580645161290322,46.0,0.0,1.0,,,,eligible_truth_edges_only,0.1372981531798031,0.1481481481481481,1.0,0.8,6.0,4.0,1.0,0.6666666666666666
controlled_recovery,schelling,full_method,,,9.0,,,0.9311111111111112,,,,49.01074130000052,0.9411764705882352,1.0,0.0,1.0,,,,eligible_truth_edges_only,0.0957733132396043,0.8888888888888888,1.0,0.5,6.0,2.0,1.0,0.3333333333333333
controlled_recovery,schelling,single_trajectory,,,9.0,,,,,,,0.0067667000002984,0.823529411764706,3.0,0.0,1.0,,,,eligible_truth_edges_only,0.0957733132396043,0.7777777777777778,0.875,0.2857142857142857,6.0,1.0,1.0,0.1666666666666666
controlled_recovery,schelling,trajectory_vote,,,4.0,,,0.9895833333333334,,,,0.1449618000006012,0.6666666666666666,4.0,0.0,1.0,,,,eligible_truth_edges_only,0.0957733132396043,1.0,0.5,0.2857142857142857,6.0,1.0,1.0,0.1666666666666666
controlled_recovery,schelling,unrestricted_temporal_search,,,33.0,,,0.8978787878787879,,,,53.66251899999952,0.2926829268292683,29.0,0.0,1.0,,,,eligible_truth_edges_only,0.0957733132396043,0.1818181818181818,0.75,0.2857142857142857,6.0,1.0,1.0,0.1666666666666666
