scenario,factor,noise_level,missing_fraction,support_threshold,repetition,temporal_qualification_rate,stability,retained_edge_count,intervention_f1
deffuant,missing_values,0.0,0.0,0.65,0,0.5714285714285714,0.9333333333333333,16,
deffuant,missing_values,0.0,0.0,0.65,1,0.5714285714285714,0.9395833333333334,16,
deffuant,missing_values,0.0,0.0,0.65,2,0.5357142857142857,0.9533333333333335,15,
deffuant,missing_values,0.0,0.0,0.65,3,0.5357142857142857,0.9555555555555556,15,
deffuant,missing_values,0.0,0.0,0.65,4,0.5714285714285714,0.95,16,
deffuant,missing_values,0.0,0.0,0.65,5,0.5714285714285714,0.9541666666666667,16,
deffuant,missing_values,0.0,0.0,0.65,6,0.5357142857142857,0.9511111111111112,15,
deffuant,missing_values,0.0,0.0,0.65,7,0.5714285714285714,0.9458333333333333,16,
deffuant,missing_values,0.0,0.05,0.65,0,0.6071428571428571,0.9274509803921569,17,
deffuant,missing_values,0.0,0.05,0.65,1,0.5714285714285714,0.95,16,
deffuant,missing_values,0.0,0.05,0.65,2,0.7142857142857143,0.945,20,
deffuant,missing_values,0.0,0.05,0.65,3,0.7142857142857143,0.9283333333333331,20,
deffuant,missing_values,0.0,0.05,0.65,4,0.6071428571428571,0.9313725490196078,17,
deffuant,missing_values,0.0,0.05,0.65,5,0.6428571428571429,0.9166666666666666,18,
deffuant,missing_values,0.0,0.05,0.65,6,0.5714285714285714,0.9375,16,
deffuant,missing_values,0.0,0.05,0.65,7,0.6785714285714286,0.9824561403508772,19,
deffuant,missing_values,0.0,0.1,0.65,0,0.5714285714285714,0.95625,16,
deffuant,missing_values,0.0,0.1,0.65,1,0.6785714285714286,0.9684210526315788,19,
deffuant,missing_values,0.0,0.1,0.65,2,0.7142857142857143,0.9583333333333334,20,
deffuant,missing_values,0.0,0.1,0.65,3,0.7142857142857143,0.9166666666666666,20,
deffuant,missing_values,0.0,0.1,0.65,4,0.6785714285714286,0.9263157894736843,19,
deffuant,missing_values,0.0,0.1,0.65,5,0.75,0.9349206349206349,21,
deffuant,missing_values,0.0,0.1,0.65,6,0.6428571428571429,0.9277777777777777,18,
deffuant,missing_values,0.0,0.1,0.65,7,0.6428571428571429,0.9314814814814815,18,
deffuant,missing_values,0.0,0.2,0.65,0,0.6428571428571429,0.9462962962962962,18,
deffuant,missing_values,0.0,0.2,0.65,1,0.6428571428571429,0.940740740740741,18,
deffuant,missing_values,0.0,0.2,0.65,2,0.6785714285714286,0.9526315789473683,19,
deffuant,missing_values,0.0,0.2,0.65,3,0.5357142857142857,0.94,15,
deffuant,missing_values,0.0,0.2,0.65,4,0.6785714285714286,0.9438596491228071,19,
deffuant,missing_values,0.0,0.2,0.65,5,0.6071428571428571,0.9509803921568626,17,
deffuant,missing_values,0.0,0.2,0.65,6,0.6428571428571429,0.9259259259259258,18,
deffuant,missing_values,0.0,0.2,0.65,7,0.6428571428571429,0.9666666666666668,18,
deffuant,observation_noise,0.0,0.0,0.65,0,0.5714285714285714,0.9291666666666667,16,
deffuant,observation_noise,0.0,0.0,0.65,1,0.5714285714285714,0.9458333333333333,16,
deffuant,observation_noise,0.0,0.0,0.65,2,0.5714285714285714,0.9437500000000001,16,
deffuant,observation_noise,0.0,0.0,0.65,3,0.5714285714285714,0.9458333333333333,16,
deffuant,observation_noise,0.0,0.0,0.65,4,0.5714285714285714,0.9395833333333333,16,
deffuant,observation_noise,0.0,0.0,0.65,5,0.5714285714285714,0.9354166666666667,16,
deffuant,observation_noise,0.0,0.0,0.65,6,0.5714285714285714,0.9625,16,
deffuant,observation_noise,0.0,0.0,0.65,7,0.5714285714285714,0.9479166666666667,16,
deffuant,observation_noise,0.05,0.0,0.65,0,0.5,0.9261904761904763,14,
deffuant,observation_noise,0.05,0.0,0.65,1,0.6428571428571429,0.9296296296296297,18,
deffuant,observation_noise,0.05,0.0,0.65,2,0.5,0.9380952380952382,14,
deffuant,observation_noise,0.05,0.0,0.65,3,0.5357142857142857,0.9044444444444445,15,
deffuant,observation_noise,0.05,0.0,0.65,4,0.42857142857142855,0.9222222222222222,12,
deffuant,observation_noise,0.05,0.0,0.65,5,0.4642857142857143,0.935897435897436,13,
deffuant,observation_noise,0.05,0.0,0.65,6,0.5714285714285714,0.91875,16,
deffuant,observation_noise,0.05,0.0,0.65,7,0.5,0.8666666666666669,14,
deffuant,observation_noise,0.1,0.0,0.65,0,0.4642857142857143,0.917948717948718,13,
deffuant,observation_noise,0.1,0.0,0.65,1,0.5,0.9190476190476191,14,
deffuant,observation_noise,0.1,0.0,0.65,2,0.42857142857142855,0.9277777777777779,12,
deffuant,observation_noise,0.1,0.0,0.65,3,0.5714285714285714,0.9041666666666668,16,
deffuant,observation_noise,0.1,0.0,0.65,4,0.4642857142857143,0.9307692307692309,13,
deffuant,observation_noise,0.1,0.0,0.65,5,0.6785714285714286,0.892982456140351,19,
deffuant,observation_noise,0.1,0.0,0.65,6,0.35714285714285715,0.9366666666666668,10,
deffuant,observation_noise,0.1,0.0,0.65,7,0.4642857142857143,0.9205128205128207,13,
deffuant,observation_noise,0.2,0.0,0.65,0,0.4642857142857143,0.9000000000000001,13,
deffuant,observation_noise,0.2,0.0,0.65,1,0.5714285714285714,0.9291666666666667,16,
deffuant,observation_noise,0.2,0.0,0.65,2,0.5,0.9190476190476191,14,
deffuant,observation_noise,0.2,0.0,0.65,3,0.5,0.911904761904762,14,
deffuant,observation_noise,0.2,0.0,0.65,4,0.5357142857142857,0.9377777777777777,15,
deffuant,observation_noise,0.2,0.0,0.65,5,0.4642857142857143,0.9384615384615385,13,
deffuant,observation_noise,0.2,0.0,0.65,6,0.42857142857142855,0.9055555555555556,12,
deffuant,observation_noise,0.2,0.0,0.65,7,0.4642857142857143,0.9076923076923078,13,
deffuant,support_threshold,0.0,0.0,0.5,0,0.5714285714285714,0.9479166666666667,16,
deffuant,support_threshold,0.0,0.0,0.5,1,0.5714285714285714,0.9479166666666667,16,
deffuant,support_threshold,0.0,0.0,0.5,2,0.5714285714285714,0.95625,16,
deffuant,support_threshold,0.0,0.0,0.5,3,0.5714285714285714,0.9416666666666667,16,
deffuant,support_threshold,0.0,0.0,0.5,4,0.5714285714285714,0.9520833333333334,16,
deffuant,support_threshold,0.0,0.0,0.5,5,0.5714285714285714,0.9500000000000001,16,
deffuant,support_threshold,0.0,0.0,0.5,6,0.5714285714285714,0.9479166666666667,16,
deffuant,support_threshold,0.0,0.0,0.5,7,0.5714285714285714,0.9479166666666666,16,
deffuant,support_threshold,0.0,0.0,0.6,0,0.5714285714285714,0.9375,16,
deffuant,support_threshold,0.0,0.0,0.6,1,0.5714285714285714,0.9270833333333334,16,
deffuant,support_threshold,0.0,0.0,0.6,2,0.5714285714285714,0.9416666666666667,16,
deffuant,support_threshold,0.0,0.0,0.6,3,0.5714285714285714,0.9395833333333333,16,
deffuant,support_threshold,0.0,0.0,0.6,4,0.5714285714285714,0.9458333333333333,16,
deffuant,support_threshold,0.0,0.0,0.6,5,0.5714285714285714,0.9458333333333333,16,
deffuant,support_threshold,0.0,0.0,0.6,6,0.5714285714285714,0.9437500000000001,16,
deffuant,support_threshold,0.0,0.0,0.6,7,0.5714285714285714,0.9437500000000001,16,
deffuant,support_threshold,0.0,0.0,0.65,0,0.5714285714285714,0.94375,16,
deffuant,support_threshold,0.0,0.0,0.65,1,0.5714285714285714,0.93125,16,
deffuant,support_threshold,0.0,0.0,0.65,2,0.5714285714285714,0.9416666666666668,16,
deffuant,support_threshold,0.0,0.0,0.65,3,0.5714285714285714,0.9083333333333334,16,
deffuant,support_threshold,0.0,0.0,0.65,4,0.5714285714285714,0.9395833333333333,16,
deffuant,support_threshold,0.0,0.0,0.65,5,0.5357142857142857,0.9511111111111111,15,
deffuant,support_threshold,0.0,0.0,0.65,6,0.5714285714285714,0.9479166666666667,16,
deffuant,support_threshold,0.0,0.0,0.65,7,0.5714285714285714,0.9458333333333333,16,
deffuant,support_threshold,0.0,0.0,0.75,0,0.5,0.961904761904762,14,
deffuant,support_threshold,0.0,0.0,0.75,1,0.5714285714285714,0.9375,16,
deffuant,support_threshold,0.0,0.0,0.75,2,0.5357142857142857,0.9511111111111111,15,
deffuant,support_threshold,0.0,0.0,0.75,3,0.5357142857142857,0.9511111111111112,15,
deffuant,support_threshold,0.0,0.0,0.75,4,0.5357142857142857,0.9511111111111112,15,
