scenario,path_id,parameter,direction,hypothesis_group_id,micro,meso,macro,path_temporally_qualified,manipulation_success,micro_significant,meso_significant,macro_significant,micro_meso_class,meso_macro_class,direction_supported,onset_order_supported,path_classification,reason
deffuant,as_minus_shift_absostd_gmean,assimilation_strength,minus,macro_outcome_macro_opinion_global_mean,micro_mean_abs_agent_shift,meso_neighborhood_abs_opinion_std,macro_opinion_global_mean,False,False,False,True,False,manipulation_failure,inconclusive,False,False,inconclusive,path_not_temporally_qualified
deffuant,as_minus_shift_absovar_lcc,assimilation_strength,minus,macro_outcome_macro_network_largest_component_fraction,micro_mean_abs_agent_shift,meso_neighborhood_abs_opinion_variance,macro_network_largest_component_fraction,False,False,False,True,False,manipulation_failure,inconclusive,False,False,inconclusive,path_not_temporally_qualified
deffuant,as_minus_shift_ovar_gvar,assimilation_strength,minus,macro_outcome_macro_opinion_global_variance,micro_mean_abs_agent_shift,meso_neighborhood_opinion_variance,macro_opinion_global_variance,True,False,False,True,False,manipulation_failure,manipulation_failure,True,True,manipulation_failure,required_micro_manipulation_failed
deffuant,as_plus_shift_diststd_assort,assimilation_strength,plus,macro_outcome_macro_network_assortativity,micro_mean_abs_agent_shift,meso_neighborhood_interaction_distance_std,macro_network_assortativity,True,True,True,False,False,no_stable_downstream_effect,no_stable_downstream_effect,True,False,inconclusive,required_multiscale_response_not_stable
deffuant,as_plus_shift_ostd_gvar,assimilation_strength,plus,macro_outcome_macro_opinion_global_variance,micro_mean_abs_agent_shift,meso_neighborhood_opinion_std,macro_opinion_global_variance,True,True,True,False,False,no_stable_downstream_effect,no_stable_downstream_effect,True,False,inconclusive,required_multiscale_response_not_stable
deffuant,as_plus_shift_shiftstd_gmean,assimilation_strength,plus,macro_outcome_macro_opinion_global_mean,micro_mean_abs_agent_shift,meso_neighborhood_agent_shift_std,macro_opinion_global_mean,False,False,False,False,False,inconclusive,no_stable_downstream_effect,False,False,inconclusive,path_not_temporally_qualified
deffuant,bt_minus_backfire_absostd_assort,backfire_threshold,minus,macro_outcome_macro_network_assortativity,micro_backfire_fraction,meso_neighborhood_abs_opinion_std,macro_network_assortativity,False,False,False,False,False,manipulation_failure,inconclusive,False,False,inconclusive,path_not_temporally_qualified
deffuant,bt_minus_backfire_diststd_assort,backfire_threshold,minus,macro_outcome_macro_network_assortativity,micro_backfire_fraction,meso_neighborhood_interaction_distance_std,macro_network_assortativity,False,False,False,False,False,inconclusive,manipulation_failure,False,False,inconclusive,path_not_temporally_qualified
deffuant,bt_minus_backfire_ostd_gvar,backfire_threshold,minus,macro_outcome_macro_opinion_global_variance,micro_backfire_fraction,meso_neighborhood_opinion_std,macro_opinion_global_variance,False,False,False,False,True,inconclusive,manipulation_failure,False,False,inconclusive,path_not_temporally_qualified
deffuant,bt_plus_backfire_distvar_lcc,backfire_threshold,plus,macro_outcome_macro_network_largest_component_fraction,micro_backfire_fraction,meso_neighborhood_interaction_distance_variance,macro_network_largest_component_fraction,False,False,False,False,False,inconclusive,inconclusive,False,False,inconclusive,path_not_temporally_qualified
deffuant,bt_plus_backfire_ovar_gvar,backfire_threshold,plus,macro_outcome_macro_opinion_global_variance,micro_backfire_fraction,meso_neighborhood_opinion_variance,macro_opinion_global_variance,False,False,False,False,True,inconclusive,supported,False,False,inconclusive,path_not_temporally_qualified
deffuant,bt_plus_backfire_shiftstd_gmean,backfire_threshold,plus,macro_outcome_macro_opinion_global_mean,micro_backfire_fraction,meso_neighborhood_agent_shift_std,macro_opinion_global_mean,True,True,True,False,False,no_stable_downstream_effect,no_stable_downstream_effect,True,False,inconclusive,required_multiscale_response_not_stable
deffuant,cb_minus_accept_absovar_assort,confidence_bound,minus,macro_outcome_macro_network_assortativity,micro_accepted_fraction,meso_neighborhood_abs_opinion_variance,macro_network_assortativity,True,True,True,True,True,supported,supported,True,True,supported,all_stage3_v2_hard_criteria_supported
