scenario,path_id,parameter,hypothesis_group_id,micro,meso,macro,micro_meso_retained,micro_meso_lag,micro_meso_beta,micro_meso_q,micro_meso_support,meso_macro_retained,meso_macro_lag,meso_macro_beta,meso_macro_q,meso_macro_support,path_temporally_qualified
deffuant,cb_plus_accept_ostd_gvar,confidence_bound,macro_outcome_macro_opinion_global_variance,micro_accepted_fraction,meso_neighborhood_opinion_std,macro_opinion_global_variance,True,4.0,-0.021066161311215772,5.213936874481246e-41,0.77,True,1.0,-0.02542647407126148,1.451993561635402e-11,0.97,True
deffuant,cb_minus_accept_ovar_gvar,confidence_bound,macro_outcome_macro_opinion_global_variance,micro_accepted_fraction,meso_neighborhood_opinion_variance,macro_opinion_global_variance,True,4.0,-0.029373896372052993,1.2222025635450991e-49,0.79,True,1.0,0.03593191177695769,8.354852619201334e-23,1.0,True
deffuant,cb_plus_accept_distvar_lcc,confidence_bound,macro_outcome_macro_network_largest_component_fraction,micro_accepted_fraction,meso_neighborhood_interaction_distance_variance,macro_network_largest_component_fraction,False,,,,,False,,,,,False
deffuant,cb_minus_accept_diststd_lcc,confidence_bound,macro_outcome_macro_network_largest_component_fraction,micro_accepted_fraction,meso_neighborhood_interaction_distance_std,macro_network_largest_component_fraction,False,,,,,False,,,,,False
deffuant,cb_plus_accept_absostd_gmean,confidence_bound,macro_outcome_macro_opinion_global_mean,micro_accepted_fraction,meso_neighborhood_abs_opinion_std,macro_opinion_global_mean,True,5.0,0.01404300414995751,2.285311420448665e-06,0.92,False,,,,,False
deffuant,cb_minus_accept_absovar_assort,confidence_bound,macro_outcome_macro_network_assortativity,micro_accepted_fraction,meso_neighborhood_abs_opinion_variance,macro_network_assortativity,True,1.0,-0.030108709239446817,1.530046208460104e-15,1.0,True,3.0,0.07201259913312272,0.000324634049041493,0.96,True
deffuant,as_plus_shift_ostd_gvar,assimilation_strength,macro_outcome_macro_opinion_global_variance,micro_mean_abs_agent_shift,meso_neighborhood_opinion_std,macro_opinion_global_variance,True,1.0,-0.012021913873778333,0.00013984771788474348,0.9,True,1.0,-0.02542647407126148,1.451993561635402e-11,0.97,True
deffuant,as_minus_shift_ovar_gvar,assimilation_strength,macro_outcome_macro_opinion_global_variance,micro_mean_abs_agent_shift,meso_neighborhood_opinion_variance,macro_opinion_global_variance,True,1.0,-0.012969413816901696,1.6936857709838606e-09,0.98,True,1.0,0.03593191177695769,8.354852619201334e-23,1.0,True
deffuant,as_plus_shift_shiftstd_gmean,assimilation_strength,macro_outcome_macro_opinion_global_mean,micro_mean_abs_agent_shift,meso_neighborhood_agent_shift_std,macro_opinion_global_mean,False,,,,,True,1.0,0.0011978539168080989,0.039105579189837494,0.71,False
deffuant,as_minus_shift_absovar_lcc,assimilation_strength,macro_outcome_macro_network_largest_component_fraction,micro_mean_abs_agent_shift,meso_neighborhood_abs_opinion_variance,macro_network_largest_component_fraction,True,1.0,-0.059101424018567265,4.516006561612467e-24,1.0,False,,,,,False
