scenario,path_id,parameter,temporally_qualified,primary_supported,micro_dose_trend,meso_dose_trend,macro_dose_trend,primary_classification_changed
deffuant,cb_plus_accept_ostd_gvar,confidence_bound,True,True,0.6793069506343543,-0.5650555756389791,-2.113457525006153,False
deffuant,cb_minus_accept_ovar_gvar,confidence_bound,True,True,0.6793069506343543,-0.756615458178871,-2.113457525006153,False
deffuant,cb_minus_accept_absovar_assort,confidence_bound,True,True,0.6793069506343543,-0.5708646399372119,-0.2384626012079908,False
deffuant,as_plus_shift_ostd_gvar,assimilation_strength,True,False,0.1469017753244962,-0.1179403246047847,-0.0030080618457836,False
deffuant,as_minus_shift_ovar_gvar,assimilation_strength,True,False,0.1469017753244962,-0.0852746850915338,-0.0030080618457836,False
deffuant,as_plus_shift_diststd_assort,assimilation_strength,True,False,0.1469017753244962,-0.0668291071010957,0.0529434263115737,False
deffuant,bt_plus_backfire_shiftstd_gmean,backfire_threshold,True,False,-0.2581640660958606,0.0115567536599999,-0.0028072722549875,False
schelling,tol_plus_unhappy_to_move_std_to_global_moved,tolerance,True,True,0.4580948189526223,0.3709115458240591,0.4037445319796004,False
schelling,tol_plus_unhappy_to_group_entropy_to_components,tolerance,True,False,0.4580948189526223,-0.6195733313770089,-0.87162573937086,False
schelling,tol_minus_unhappy_to_unhappy_std_to_components,tolerance,True,True,0.4580948189526223,0.543310038839728,-0.87162573937086,False
schelling,tol_minus_unhappy_to_move_std_to_spatial_sim,tolerance,True,True,0.4580948189526223,0.3709115458240591,2.264537629052142,False
schelling,tol_plus_unhappy_to_dest_std_to_components,tolerance,True,False,0.4580948189526223,0.3305335255467561,-0.87162573937086,False
schelling,move_plus_response_to_move_std_to_global_moved,move_probability,True,False,-0.0180729068619072,-0.3818638492972481,-0.3034290897000423,False
schelling,move_plus_moved_to_dest_std_to_spatial_sim,move_probability,True,False,-0.3034290897000423,-0.3671002556961892,0.7614115716874614,False
schelling,move_minus_response_to_unhappy_std_to_global_unhappy,move_probability,True,False,-0.0180729068619072,-0.785191520541156,-0.7831600719720928,False
schelling,move_minus_moved_to_boundary_std_to_components,move_probability,True,False,-0.3034290897000423,0.0261733487522741,-0.7711257731299495,False
schelling,move_plus_moved_to_neighbour_std_to_global_unhappy,move_probability,True,False,-0.3034290897000423,-0.0357973846407724,-0.7831600719720928,False
schelling,dest_plus_dest_sim_to_dest_std_to_spatial_sim,destination_preference,True,False,-0.1563738351112802,-0.2258496413668931,0.4173872400443089,False
schelling,dest_plus_dest_sim_to_boundary_std_to_global_unhappy,destination_preference,True,False,-0.1563738351112802,-0.0849726914456787,-0.3989358666298025,False
schelling,dest_plus_dest_sim_to_group_entropy_to_components,destination_preference,True,False,-0.1563738351112802,-0.0449606374688077,-0.3552949697440488,False
schelling,dest_minus_dest_sim_to_dest_std_to_global_unhappy,destination_preference,True,False,-0.1563738351112802,-0.2258496413668931,-0.3989358666298025,False
schelling,dest_minus_dest_sim_to_move_std_to_components,destination_preference,True,False,-0.1563738351112802,-0.3180975827902003,-0.3552949697440488,False
