evaluation_track,scenario,repetition,candidate_path_count,qualified_path_count,path_qualification_rate,control_only
falsification_control,deffuant,0,18,3,0.1666666666666666,True
falsification_control,deffuant,1,18,3,0.1666666666666666,True
falsification_control,deffuant,2,18,2,0.1111111111111111,True
falsification_control,deffuant,3,18,0,0.0,True
falsification_control,deffuant,4,18,5,0.2777777777777778,True
falsification_control,deffuant,5,18,2,0.1111111111111111,True
falsification_control,deffuant,6,18,1,0.0555555555555555,True
falsification_control,deffuant,7,18,0,0.0,True
falsification_control,deffuant,8,18,2,0.1111111111111111,True
falsification_control,deffuant,9,18,2,0.1111111111111111,True
falsification_control,deffuant,10,18,0,0.0,True
falsification_control,deffuant,11,18,0,0.0,True
falsification_control,deffuant,12,18,3,0.1666666666666666,True
falsification_control,deffuant,13,18,1,0.0555555555555555,True
falsification_control,deffuant,14,18,2,0.1111111111111111,True
falsification_control,deffuant,15,18,2,0.1111111111111111,True
falsification_control,deffuant,16,18,0,0.0,True
falsification_control,deffuant,17,18,2,0.1111111111111111,True
falsification_control,deffuant,18,18,0,0.0,True
falsification_control,deffuant,19,18,2,0.1111111111111111,True
falsification_control,schelling,0,16,0,0.0,True
falsification_control,schelling,1,16,0,0.0,True
falsification_control,schelling,2,16,0,0.0,True
falsification_control,schelling,3,16,0,0.0,True
falsification_control,schelling,4,16,0,0.0,True
falsification_control,schelling,5,16,0,0.0,True
falsification_control,schelling,6,16,0,0.0,True
falsification_control,schelling,7,16,0,0.0,True
falsification_control,schelling,8,16,0,0.0,True
falsification_control,schelling,9,16,0,0.0,True
falsification_control,schelling,10,16,0,0.0,True
falsification_control,schelling,11,16,1,0.0625,True
falsification_control,schelling,12,16,0,0.0,True
falsification_control,schelling,13,16,0,0.0,True
falsification_control,schelling,14,16,0,0.0,True
falsification_control,schelling,15,16,0,0.0,True
falsification_control,schelling,16,16,1,0.0625,True
falsification_control,schelling,17,16,0,0.0,True
falsification_control,schelling,18,16,0,0.0,True
falsification_control,schelling,19,16,0,0.0,True
