scenario,generation_a,generation_b,computation_agreement,scale_agreement,source_family_agreement,parameter_source_agreement,macro_concept_agreement
deffuant,0,1,0.3658536585365853,0.3333333333333333,0.75,0.0,0.1428571428571428
deffuant,0,2,0.6,0.5555555555555556,0.6842105263157895,0.0,0.3333333333333333
deffuant,0,3,0.4736842105263157,0.4736842105263157,0.65,0.0,0.0
deffuant,0,4,0.4358974358974359,0.4358974358974359,0.6842105263157895,0.0,0.0
deffuant,0,5,0.5135135135135135,0.5135135135135135,0.6666666666666666,0.0,0.0
deffuant,1,2,0.4,0.3658536585365853,0.6470588235294118,0.0,0.0
deffuant,1,3,0.3658536585365853,0.3333333333333333,0.7058823529411765,0.0,0.3333333333333333
deffuant,1,4,0.3333333333333333,0.3023255813953488,0.6470588235294118,0.4,0.1428571428571428
deffuant,1,5,0.4,0.3658536585365853,0.7333333333333333,0.2,0.0
deffuant,2,3,0.4736842105263157,0.4736842105263157,0.65,0.0,0.0
deffuant,2,4,0.4358974358974359,0.4358974358974359,0.6842105263157895,0.0,0.0
deffuant,2,5,0.5135135135135135,0.5135135135135135,0.5789473684210527,0.3333333333333333,0.0
deffuant,3,4,0.4358974358974359,0.4358974358974359,0.8333333333333334,0.0,0.1428571428571428
deffuant,3,5,0.5135135135135135,0.5135135135135135,0.7222222222222222,0.0,0.0
deffuant,4,5,0.4736842105263157,0.4736842105263157,0.7647058823529411,0.1666666666666666,0.0
schelling,1,2,0.4358974358974359,0.4358974358974359,0.3,0.0,0.0
schelling,1,3,0.4,0.4,0.68,0.0,0.0
schelling,1,4,0.4736842105263157,0.4736842105263157,0.7083333333333334,0.0,0.0
schelling,1,5,0.3023255813953488,0.3023255813953488,0.56,0.0,0.0
schelling,2,3,0.5555555555555556,0.5135135135135135,0.3703703703703703,0.0454545454545454,0.1428571428571428
schelling,2,4,0.5135135135135135,0.5135135135135135,0.2857142857142857,0.1666666666666666,0.0
schelling,2,5,0.3658536585365853,0.3658536585365853,0.3076923076923077,0.0,0.1428571428571428
schelling,3,4,0.6,0.6,0.6956521739130435,0.0625,0.0
schelling,3,5,0.4358974358974359,0.4358974358974359,0.5416666666666666,0.0,0.0
schelling,4,5,0.4,0.4,0.5,0.0,0.0
