scenario,candidate_indicator_count,repetition,runtime_seconds,discovered_edge_count
deffuant,8,0,0.10653330000059213,23
deffuant,8,1,0.10439340000084485,23
deffuant,8,2,0.10244799999964016,23
deffuant,8,3,0.10858430000007502,23
deffuant,8,4,0.09884910000073432,23
deffuant,16,0,0.6648688999994192,129
deffuant,16,1,0.6464096999989124,129
deffuant,16,2,0.6515746000004583,129
deffuant,16,3,0.6328433999988192,129
deffuant,16,4,0.6255976000011287,129
deffuant,32,0,4.300930100000187,329
deffuant,32,1,4.193381000000954,306
deffuant,32,2,4.118182000000161,317
deffuant,32,3,4.1197033999997075,290
deffuant,32,4,4.068584700000429,316
deffuant,64,0,18.525316200000816,433
deffuant,64,1,18.546747099999266,444
deffuant,64,2,18.5996025000004,477
deffuant,64,3,18.539245500000106,407
deffuant,64,4,18.401197799999863,437
schelling,8,0,0.20004580000022543,36
schelling,8,1,0.13345269999990705,36
schelling,8,2,0.12320750000071712,36
schelling,8,3,0.13036640000063926,36
schelling,8,4,0.12984599999981583,36
schelling,16,0,0.6855766000007861,133
schelling,16,1,0.7090003000012075,133
schelling,16,2,0.6600139000001946,133
schelling,16,3,0.696541299999808,133
schelling,16,4,0.6741093999989971,133
schelling,32,0,4.68597139999838,548
schelling,32,1,4.607795299998543,550
schelling,32,2,4.557224700000006,542
schelling,32,3,4.592818999999508,535
schelling,32,4,4.538082199998826,525
schelling,64,0,20.068288800001028,811
schelling,64,1,19.858004300000175,840
schelling,64,2,19.559410699999717,823
schelling,64,3,19.648256599999513,813
schelling,64,4,19.763949400001366,873
