evaluation_track,scenario,parameter,node_id,scale,dose_point_count,dose_response_slope,slope_ci_low,slope_ci_high,spearman_rho,monotonic_direction_score,adjacent_dose_consistency,quadratic_delta_r2,nonlinearity_indicator,slope_bootstrap_unit,primary_classification_changed
secondary_dose_response,deffuant,assimilation_strength,macro_network_assortativity,macro,5,0.05294342631157375,0.038771321997693016,0.06764289450639804,0.9999999999999999,1.0,1.0,0.0853786063930293,True,paired_seeds,False
secondary_dose_response,deffuant,assimilation_strength,macro_network_largest_component_fraction,macro,5,-0.014049348024366479,-0.036363018416007385,0.0,-0.051298917604257706,0.6,0.75,0.16623719439381557,True,paired_seeds,False
secondary_dose_response,deffuant,assimilation_strength,macro_opinion_global_mean,macro,5,0.04296518767265425,-0.020279398786588278,0.10632740712690064,0.39999999999999997,0.7,0.75,0.4821595077068046,True,paired_seeds,False
secondary_dose_response,deffuant,assimilation_strength,macro_opinion_global_variance,macro,5,-0.0030080618457836417,-0.0907036844658416,0.07585959363153502,-0.3,0.6,0.5,0.009635892172274896,False,paired_seeds,False
secondary_dose_response,deffuant,assimilation_strength,meso_neighborhood_abs_opinion_std,meso,5,-0.5292782263009614,-0.576224956065191,-0.4913578924770078,-0.9999999999999999,1.0,1.0,0.10745357006566425,True,paired_seeds,False
secondary_dose_response,deffuant,assimilation_strength,meso_neighborhood_abs_opinion_variance,meso,5,-0.49389978397050965,-0.5597536689570637,-0.4350165946322384,-0.9999999999999999,1.0,1.0,0.11538773085592535,True,paired_seeds,False
secondary_dose_response,deffuant,assimilation_strength,meso_neighborhood_agent_shift_std,meso,5,0.1911121603438198,0.15665495000813803,0.2258991902205117,0.9999999999999999,1.0,1.0,0.02965406232745671,False,paired_seeds,False
secondary_dose_response,deffuant,assimilation_strength,meso_neighborhood_interaction_distance_std,meso,5,-0.0668291071010957,-0.09512229254765128,-0.04098334060163912,-0.9999999999999999,1.0,1.0,0.06754055667079928,True,paired_seeds,False
secondary_dose_response,deffuant,assimilation_strength,meso_neighborhood_opinion_std,meso,5,-0.11794032460478472,-0.14278076354226604,-0.09223333055816793,-0.9999999999999999,1.0,1.0,0.12107688911260728,True,paired_seeds,False
secondary_dose_response,deffuant,assimilation_strength,meso_neighborhood_opinion_variance,meso,5,-0.08527468509153388,-0.12242742196458699,-0.049294708875272146,-0.9999999999999999,1.0,1.0,0.10075920998477084,True,paired_seeds,False
secondary_dose_response,deffuant,assimilation_strength,micro_mean_abs_agent_shift,micro,5,0.14690177532449622,0.12004529340766223,0.17841361124154842,0.9999999999999999,1.0,1.0,0.044603976470140916,False,paired_seeds,False
secondary_dose_response,deffuant,backfire_threshold,macro_network_assortativity,macro,5,-0.02904382860948419,-0.041959219260488685,-0.01732565061734885,-0.8999999999999998,0.9,0.75,0.08850099640678433,True,paired_seeds,False
secondary_dose_response,deffuant,backfire_threshold,macro_network_largest_component_fraction,macro,5,0.03347050558746129,0.0,0.07809784637074302,0.5642880936468347,0.7,0.5,0.456700379266751,True,paired_seeds,False
secondary_dose_response,deffuant,backfire_threshold,macro_opinion_global_mean,macro,5,-0.0028072722549875987,-0.0494520276451244,0.046952910643019014,-0.09999999999999999,0.5,0.5,0.5700663883554034,True,paired_seeds,False
secondary_dose_response,deffuant,backfire_threshold,macro_opinion_global_variance,macro,5,-0.9985635351110008,-1.0765352941840127,-0.9281800106059562,-0.9999999999999999,1.0,1.0,0.08516944182020947,True,paired_seeds,False
secondary_dose_response,deffuant,backfire_threshold,meso_neighborhood_abs_opinion_std,meso,5,0.08711937077003641,0.05658176661088636,0.11650757287600946,0.9999999999999999,1.0,1.0,0.004052070246123862,False,paired_seeds,False
secondary_dose_response,deffuant,backfire_threshold,meso_neighborhood_agent_shift_std,meso,5,0.01155675365999992,-0.02001520867992051,0.046750948704263454,-0.09999999999999999,0.5,0.5,0.3986351477498823,True,paired_seeds,False
secondary_dose_response,deffuant,backfire_threshold,meso_neighborhood_interaction_distance_std,meso,5,-0.16222675123270455,-0.1887378520903522,-0.140484336619779,-0.9999999999999999,1.0,1.0,0.09352086175002139,True,paired_seeds,False
secondary_dose_response,deffuant,backfire_threshold,meso_neighborhood_interaction_distance_variance,meso,5,-0.3098807148188566,-0.34303064376394565,-0.2808870490364249,-0.9999999999999999,1.0,1.0,0.07685452465892417,True,paired_seeds,False
secondary_dose_response,deffuant,backfire_threshold,meso_neighborhood_opinion_std,meso,5,-0.14650979977536138,-0.17089958026685054,-0.1267498586047193,-0.9999999999999999,1.0,1.0,0.0822949620397645,True,paired_seeds,False
secondary_dose_response,deffuant,backfire_threshold,meso_neighborhood_opinion_variance,meso,5,-0.28137017004379605,-0.3092228787024006,-0.25605243958184587,-0.9999999999999999,1.0,1.0,0.07247114430069856,True,paired_seeds,False
secondary_dose_response,deffuant,backfire_threshold,micro_backfire_fraction,micro,5,-0.2581640660958606,-0.3011712597967468,-0.2163285570819386,-0.9999999999999999,1.0,1.0,0.1821634702623811,True,paired_seeds,False
secondary_dose_response,deffuant,confidence_bound,macro_network_assortativity,macro,5,-0.23846260120799084,-0.4084679761070653,-0.10362215616943217,0.0,0.4,0.25,0.5931375240300792,True,paired_seeds,False
secondary_dose_response,deffuant,confidence_bound,macro_network_largest_component_fraction,macro,5,0.018801333385549228,-0.0016528644734548792,0.05020575838119191,0.10259783520851541,0.6,0.5,0.5949209997682143,True,paired_seeds,False
secondary_dose_response,deffuant,confidence_bound,macro_opinion_global_mean,macro,5,0.0028778647107044033,-0.09639556714258964,0.10759197019213727,0.19999999999999998,0.6,0.5,0.06453607495211655,True,paired_seeds,False
secondary_dose_response,deffuant,confidence_bound,macro_opinion_global_variance,macro,5,-2.113457525006153,-2.250945907610084,-1.9638551440433405,-0.9999999999999999,1.0,1.0,0.16597012586601478,True,paired_seeds,False
secondary_dose_response,deffuant,confidence_bound,meso_neighborhood_abs_opinion_std,meso,5,-0.32480915083061707,-0.4207122336367369,-0.23584247841806935,-0.3,0.6,0.5,0.7069149138973372,True,paired_seeds,False
secondary_dose_response,deffuant,confidence_bound,meso_neighborhood_abs_opinion_variance,meso,5,-0.5708646399372119,-0.7077020037734559,-0.43385323075319476,-0.3,0.6,0.5,0.5854415068451982,True,paired_seeds,False
secondary_dose_response,deffuant,confidence_bound,meso_neighborhood_interaction_distance_std,meso,5,-0.6089927794061895,-0.6678910640733913,-0.5480544365506853,-0.9999999999999999,1.0,1.0,0.04321430782407354,False,paired_seeds,False
secondary_dose_response,deffuant,confidence_bound,meso_neighborhood_interaction_distance_variance,meso,5,-0.7796473937628091,-0.8309672406966899,-0.7301635379746247,-0.9999999999999999,1.0,1.0,0.055684906907331855,True,paired_seeds,False
secondary_dose_response,deffuant,confidence_bound,meso_neighborhood_opinion_std,meso,5,-0.5650555756389791,-0.6232059534379487,-0.5072652309018061,-0.9999999999999999,1.0,1.0,0.020932205962243877,False,paired_seeds,False
secondary_dose_response,deffuant,confidence_bound,meso_neighborhood_opinion_variance,meso,5,-0.756615458178871,-0.8101145129816489,-0.7084407644338794,-0.9999999999999999,1.0,1.0,0.032231433561926814,False,paired_seeds,False
secondary_dose_response,deffuant,confidence_bound,micro_accepted_fraction,micro,5,0.6793069506343543,0.6293742615978031,0.7281440815747439,0.9999999999999999,1.0,1.0,0.006283611957641599,False,paired_seeds,False
secondary_dose_response,schelling,destination_preference,macro_global_connected_components,macro,5,-0.35529496974404884,-0.40896629026369474,-0.29796027040282275,-0.9999999999999999,1.0,1.0,0.1881018228001875,True,paired_seeds,False
secondary_dose_response,schelling,destination_preference,macro_global_spatial_neighbor_similarity,macro,5,0.4173872400443089,0.3709389893438299,0.46904903048599095,0.9999999999999999,1.0,1.0,0.16731361624832441,True,paired_seeds,False
secondary_dose_response,schelling,destination_preference,macro_global_unhappy_fraction,macro,5,-0.39893586662980257,-0.42442395270708716,-0.3710975029565862,-0.9999999999999999,1.0,1.0,0.15994866910661643,True,paired_seeds,False
secondary_dose_response,schelling,destination_preference,mean_destination_similarity_movers,micro,5,-0.15637383511128028,-0.18196671256794406,-0.12948051804398444,-0.8999999999999998,0.9,0.75,0.1430545387781249,True,paired_seeds,False
secondary_dose_response,schelling,destination_preference,meso_district_boundary_fraction_std,meso,5,-0.08497269144567873,-0.3226689572923447,0.15690745563614436,-0.3,0.6,0.5,0.17448385693736768,True,paired_seeds,False
secondary_dose_response,schelling,destination_preference,meso_district_destination_similarity_std,meso,5,-0.2258496413668931,-0.24724319806054584,-0.20581700505444497,-0.9999999999999999,1.0,1.0,0.1361468024251523,True,paired_seeds,False
secondary_dose_response,schelling,destination_preference,meso_district_group_entropy_mean,meso,5,-0.044960637468807726,-0.17539287005555088,0.10496169661756896,0.0,0.4,0.25,0.6061822479917283,True,paired_seeds,False
secondary_dose_response,schelling,destination_preference,meso_district_move_distance_std,meso,5,-0.3180975827902003,-0.3402651663359249,-0.2906835824428353,-0.9999999999999999,1.0,1.0,0.15269199597449745,True,paired_seeds,False
secondary_dose_response,schelling,move_probability,macro_global_connected_components,macro,5,-0.7711257731299495,-0.8181023734951259,-0.7254718472444183,-0.9999999999999999,1.0,1.0,0.10413789772421134,True,paired_seeds,False
secondary_dose_response,schelling,move_probability,macro_global_moved_fraction,macro,5,-0.3034290897000423,-0.3212281348799923,-0.2870997514639201,-0.9999999999999999,1.0,1.0,0.0022163437827781296,False,paired_seeds,False
secondary_dose_response,schelling,move_probability,macro_global_spatial_neighbor_similarity,macro,5,0.7614115716874614,0.7063692721398295,0.8140100047844069,0.9999999999999999,1.0,1.0,0.07906197095691858,True,paired_seeds,False
secondary_dose_response,schelling,move_probability,macro_global_unhappy_fraction,macro,5,-0.7831600719720928,-0.8174399372045298,-0.7469549493041135,-0.9999999999999999,1.0,1.0,0.08481681509965289,True,paired_seeds,False
secondary_dose_response,schelling,move_probability,meso_district_boundary_fraction_std,meso,5,0.02617334875227412,-0.14432866496053418,0.19092193755053927,0.6,0.7,0.5,0.020001603071610585,False,paired_seeds,False
secondary_dose_response,schelling,move_probability,meso_district_destination_similarity_std,meso,5,-0.36710025569618926,-0.3890602005501931,-0.3471808820123471,-0.9999999999999999,1.0,1.0,0.006069724741040838,False,paired_seeds,False
