scenario,evaluation_track,method,hypothesis_group_id,source,target,edge_class,attempt_count,applicable_attempt_count,supported_attempt_count,contradiction_attempt_count
deffuant,primary_discovery,full_method,macro_outcome_macro_network_assortativity,meso_neighborhood_abs_opinion_variance,macro_network_assortativity,supported,2,2,2,0
deffuant,primary_discovery,full_method,macro_outcome_macro_network_assortativity,meso_neighborhood_interaction_distance_std,macro_network_assortativity,no_stable_downstream_effect,4,4,0,0
deffuant,primary_discovery,full_method,macro_outcome_macro_network_assortativity,micro_accepted_fraction,meso_neighborhood_abs_opinion_variance,supported,2,2,2,0
deffuant,primary_discovery,full_method,macro_outcome_macro_network_assortativity,micro_backfire_fraction,meso_neighborhood_abs_opinion_std,no_stable_downstream_effect,2,2,0,0
deffuant,primary_discovery,full_method,macro_outcome_macro_network_assortativity,micro_mean_abs_agent_shift,meso_neighborhood_interaction_distance_std,no_stable_downstream_effect,2,2,0,0
deffuant,primary_discovery,full_method,macro_outcome_macro_network_largest_component_fraction,micro_mean_abs_agent_shift,meso_neighborhood_abs_opinion_variance,supported,2,2,1,0
deffuant,primary_discovery,full_method,macro_outcome_macro_opinion_global_mean,meso_neighborhood_agent_shift_std,macro_opinion_global_mean,no_stable_downstream_effect,4,4,0,0
deffuant,primary_discovery,full_method,macro_outcome_macro_opinion_global_mean,micro_accepted_fraction,meso_neighborhood_abs_opinion_std,supported,2,2,2,0
deffuant,primary_discovery,full_method,macro_outcome_macro_opinion_global_mean,micro_backfire_fraction,meso_neighborhood_agent_shift_std,no_stable_downstream_effect,2,2,0,0
deffuant,primary_discovery,full_method,macro_outcome_macro_opinion_global_mean,micro_mean_abs_agent_shift,meso_neighborhood_abs_opinion_std,supported,2,2,1,0
deffuant,primary_discovery,full_method,macro_outcome_macro_opinion_global_variance,meso_neighborhood_opinion_std,macro_opinion_global_variance,supported,6,6,1,0
deffuant,primary_discovery,full_method,macro_outcome_macro_opinion_global_variance,meso_neighborhood_opinion_variance,macro_opinion_global_variance,supported,6,6,3,0
deffuant,primary_discovery,full_method,macro_outcome_macro_opinion_global_variance,micro_accepted_fraction,meso_neighborhood_opinion_std,supported,2,2,2,0
deffuant,primary_discovery,full_method,macro_outcome_macro_opinion_global_variance,micro_accepted_fraction,meso_neighborhood_opinion_variance,supported,2,2,2,0
deffuant,primary_discovery,full_method,macro_outcome_macro_opinion_global_variance,micro_mean_abs_agent_shift,meso_neighborhood_opinion_std,no_stable_downstream_effect,2,2,0,0
deffuant,primary_discovery,full_method,macro_outcome_macro_opinion_global_variance,micro_mean_abs_agent_shift,meso_neighborhood_opinion_variance,no_stable_downstream_effect,2,2,0,0
deffuant,primary_discovery,single_trajectory,macro_outcome_macro_network_assortativity,meso_neighborhood_interaction_distance_std,macro_network_assortativity,no_stable_downstream_effect,4,4,0,0
deffuant,primary_discovery,single_trajectory,macro_outcome_macro_network_assortativity,micro_accepted_fraction,meso_neighborhood_abs_opinion_variance,supported,2,2,2,0
deffuant,primary_discovery,single_trajectory,macro_outcome_macro_network_assortativity,micro_backfire_fraction,meso_neighborhood_abs_opinion_std,no_stable_downstream_effect,2,2,0,0
deffuant,primary_discovery,single_trajectory,macro_outcome_macro_network_largest_component_fraction,micro_backfire_fraction,meso_neighborhood_interaction_distance_variance,supported,2,2,1,0
deffuant,primary_discovery,single_trajectory,macro_outcome_macro_network_largest_component_fraction,micro_mean_abs_agent_shift,meso_neighborhood_abs_opinion_variance,supported,2,2,1,0
deffuant,primary_discovery,single_trajectory,macro_outcome_macro_opinion_global_mean,meso_neighborhood_agent_shift_std,macro_opinion_global_mean,no_stable_downstream_effect,4,4,0,0
deffuant,primary_discovery,single_trajectory,macro_outcome_macro_opinion_global_mean,micro_backfire_fraction,meso_neighborhood_agent_shift_std,no_stable_downstream_effect,2,2,0,0
deffuant,primary_discovery,single_trajectory,macro_outcome_macro_opinion_global_mean,micro_mean_abs_agent_shift,meso_neighborhood_abs_opinion_std,supported,2,2,1,0
deffuant,primary_discovery,single_trajectory,macro_outcome_macro_opinion_global_mean,micro_mean_abs_agent_shift,meso_neighborhood_agent_shift_std,supported,2,2,1,0
deffuant,primary_discovery,trajectory_vote,macro_outcome_macro_network_assortativity,micro_accepted_fraction,meso_neighborhood_abs_opinion_variance,supported,2,2,2,0
deffuant,primary_discovery,trajectory_vote,macro_outcome_macro_network_assortativity,micro_backfire_fraction,meso_neighborhood_abs_opinion_std,no_stable_downstream_effect,2,2,0,0
deffuant,primary_discovery,trajectory_vote,macro_outcome_macro_network_largest_component_fraction,micro_mean_abs_agent_shift,meso_neighborhood_abs_opinion_variance,supported,2,2,1,0
deffuant,primary_discovery,trajectory_vote,macro_outcome_macro_opinion_global_mean,meso_neighborhood_agent_shift_std,macro_opinion_global_mean,no_stable_downstream_effect,4,4,0,0
deffuant,primary_discovery,trajectory_vote,macro_outcome_macro_opinion_global_mean,micro_accepted_fraction,meso_neighborhood_abs_opinion_std,supported,2,2,2,0
deffuant,primary_discovery,trajectory_vote,macro_outcome_macro_opinion_global_mean,micro_backfire_fraction,meso_neighborhood_agent_shift_std,no_stable_downstream_effect,2,2,0,0
deffuant,primary_discovery,trajectory_vote,macro_outcome_macro_opinion_global_mean,micro_mean_abs_agent_shift,meso_neighborhood_agent_shift_std,supported,2,2,1,0
deffuant,primary_discovery,unrestricted_temporal_search,unrestricted,macro_network_assortativity,macro_opinion_global_mean,not_applicable,1,0,0,0
deffuant,primary_discovery,unrestricted_temporal_search,unrestricted,macro_network_assortativity,meso_neighborhood_abs_opinion_variance,not_applicable,1,0,0,0
deffuant,primary_discovery,unrestricted_temporal_search,unrestricted,macro_network_assortativity,meso_neighborhood_agent_shift_variance,not_applicable,1,0,0,0
