panel	scenario	operator	error_ratio	metric	n_total	n_finite	median	q25	q75	repetitions
a	deffuant	irrelevant_indicator	0.0	temporal_qualification_rate	12	12	0.5714285714285714	0.5714285714285714	0.5714285714285714	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
a	deffuant	irrelevant_indicator	0.1	temporal_qualification_rate	12	12	0.5483870967741935	0.5161290322580645	0.5483870967741935	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
a	deffuant	irrelevant_indicator	0.2	temporal_qualification_rate	12	12	0.48529411764705876	0.463235294117647	0.5073529411764706	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
a	deffuant	irrelevant_indicator	0.4	temporal_qualification_rate	12	12	0.4615384615384615	0.4551282051282051	0.4871794871794871	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
a	schelling	irrelevant_indicator	0.0	temporal_qualification_rate	12	12	0.9655172413793104	0.9655172413793104	0.9655172413793104	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
a	schelling	irrelevant_indicator	0.1	temporal_qualification_rate	12	12	0.875	0.875	0.90625	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
a	schelling	irrelevant_indicator	0.2	temporal_qualification_rate	12	12	0.8285714285714286	0.8	0.8357142857142857	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
a	schelling	irrelevant_indicator	0.4	temporal_qualification_rate	12	12	0.7195121951219512	0.7073170731707317	0.7317073170731707	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
b	deffuant	redundant_semantic_indicator	0.0	temporal_qualification_rate	12	12	0.5714285714285714	0.5714285714285714	0.5714285714285714	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
b	deffuant	redundant_semantic_indicator	0.1	temporal_qualification_rate	12	12	0.5806451612903226	0.5725806451612904	0.6129032258064516	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
b	deffuant	redundant_semantic_indicator	0.2	temporal_qualification_rate	12	12	0.5588235294117647	0.5294117647058824	0.5661764705882353	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
b	deffuant	redundant_semantic_indicator	0.4	temporal_qualification_rate	12	12	0.5769230769230769	0.5576923076923077	0.5897435897435898	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
b	schelling	redundant_semantic_indicator	0.0	temporal_qualification_rate	12	12	0.9655172413793104	0.9655172413793104	0.9655172413793104	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
b	schelling	redundant_semantic_indicator	0.1	temporal_qualification_rate	12	12	0.96875	0.96875	0.96875	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
b	schelling	redundant_semantic_indicator	0.2	temporal_qualification_rate	12	12	0.9714285714285714	0.9714285714285714	0.9714285714285714	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
b	schelling	redundant_semantic_indicator	0.4	temporal_qualification_rate	12	12	0.9634146341463414	0.951219512195122	0.975609756097561	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
c	deffuant	delete_candidate_relation	0.0	temporal_qualification_rate	12	12	0.5714285714285714	0.5714285714285714	0.5714285714285714	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
c	deffuant	delete_candidate_relation	0.1	temporal_qualification_rate	12	12	0.6	0.56	0.64	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
c	deffuant	delete_candidate_relation	0.2	temporal_qualification_rate	12	12	0.5909090909090909	0.5795454545454546	0.6022727272727273	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
c	deffuant	delete_candidate_relation	0.4	temporal_qualification_rate	12	12	0.7058823529411765	0.5882352941176471	0.7205882352941176	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
c	schelling	delete_candidate_relation	0.0	temporal_qualification_rate	12	12	0.9655172413793104	0.9655172413793104	0.9655172413793104	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
c	schelling	delete_candidate_relation	0.1	temporal_qualification_rate	12	12	0.9230769230769232	0.9230769230769232	0.9615384615384616	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
c	schelling	delete_candidate_relation	0.2	temporal_qualification_rate	12	12	0.9565217391304348	0.9130434782608696	0.9565217391304348	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
c	schelling	delete_candidate_relation	0.4	temporal_qualification_rate	12	12	0.9411764705882352	0.9411764705882352	0.9558823529411764	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
d	deffuant	wrong_hypothesis_group_assignment	0.0	temporal_qualification_rate	12	12	0.5714285714285714	0.5714285714285714	0.5714285714285714	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
d	deffuant	wrong_hypothesis_group_assignment	0.1	temporal_qualification_rate	12	12	0.5714285714285714	0.5357142857142857	0.5714285714285714	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
d	deffuant	wrong_hypothesis_group_assignment	0.2	temporal_qualification_rate	12	12	0.5714285714285714	0.5714285714285714	0.5714285714285714	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
d	deffuant	wrong_hypothesis_group_assignment	0.4	temporal_qualification_rate	12	12	0.5714285714285714	0.5714285714285714	0.5714285714285714	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
d	schelling	wrong_hypothesis_group_assignment	0.0	temporal_qualification_rate	12	12	0.9655172413793104	0.9655172413793104	0.9655172413793104	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
d	schelling	wrong_hypothesis_group_assignment	0.1	temporal_qualification_rate	12	12	0.9655172413793104	0.9310344827586208	0.9655172413793104	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
d	schelling	wrong_hypothesis_group_assignment	0.2	temporal_qualification_rate	12	12	0.9655172413793104	0.9655172413793104	0.9655172413793104	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
d	schelling	wrong_hypothesis_group_assignment	0.4	temporal_qualification_rate	12	12	0.9655172413793104	0.9642857142857144	0.9655172413793104	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
e	deffuant	cross_hypothesis_group_relation	0.0	temporal_qualification_rate	12	12	0.5714285714285714	0.5714285714285714	0.5714285714285714	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
e	deffuant	cross_hypothesis_group_relation	0.1	temporal_qualification_rate	12	12	0.564516129032258	0.5161290322580645	0.6129032258064516	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
e	deffuant	cross_hypothesis_group_relation	0.2	temporal_qualification_rate	12	12	0.5294117647058824	0.5294117647058824	0.5882352941176471	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
e	deffuant	cross_hypothesis_group_relation	0.4	temporal_qualification_rate	12	12	0.5512820512820513	0.532051282051282	0.5897435897435898	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
e	schelling	cross_hypothesis_group_relation	0.0	temporal_qualification_rate	12	12	0.9655172413793104	0.9655172413793104	0.9655172413793104	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
e	schelling	cross_hypothesis_group_relation	0.1	temporal_qualification_rate	12	12	0.953125	0.9375	0.96875	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
e	schelling	cross_hypothesis_group_relation	0.2	temporal_qualification_rate	12	12	0.9142857142857144	0.9071428571428573	0.9428571428571428	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
e	schelling	cross_hypothesis_group_relation	0.4	temporal_qualification_rate	12	12	0.8902439024390245	0.8475609756097561	0.9329268292682927	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
f	deffuant	irrelevant_indicator	0.0	stability	12	12	0.940625	0.9348958333333334	0.9505208333333333	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
f	deffuant	irrelevant_indicator	0.1	stability	12	12	0.9394607843137256	0.9294560185185186	0.9470588235294118	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
f	deffuant	irrelevant_indicator	0.2	stability	12	12	0.9362200435729848	0.9312152777777778	0.9467647058823531	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
f	deffuant	irrelevant_indicator	0.4	stability	12	12	0.9254901960784313	0.920882066276803	0.9368055555555557	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
f	schelling	irrelevant_indicator	0.0	stability	12	12	0.9720238095238094	0.96875	0.9747023809523809	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
f	schelling	irrelevant_indicator	0.1	stability	12	12	0.9654761904761904	0.9617816091954022	0.9701457307060756	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
f	schelling	irrelevant_indicator	0.2	stability	12	12	0.9660714285714286	0.9620689655172414	0.9695019157088123	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
