scenario	operator	error_ratio	repetition	evaluation_track	candidate_edge_count	retained_edge_count	temporal_qualification_rate	stability
deffuant	cross_hypothesis_group_relation	0.0	0	full_discovery	28	16	0.5714285714285714	0.9541666666666668
deffuant	cross_hypothesis_group_relation	0.0	1	full_discovery	28	16	0.5714285714285714	0.9520833333333334
deffuant	cross_hypothesis_group_relation	0.0	2	full_discovery	28	16	0.5714285714285714	0.9416666666666668
deffuant	cross_hypothesis_group_relation	0.0	3	full_discovery	28	16	0.5714285714285714	0.9458333333333332
deffuant	cross_hypothesis_group_relation	0.0	4	full_discovery	28	16	0.5714285714285714	0.9479166666666666
deffuant	cross_hypothesis_group_relation	0.0	5	full_discovery	28	16	0.5714285714285714	0.9541666666666666
deffuant	cross_hypothesis_group_relation	0.0	6	full_discovery	28	16	0.5714285714285714	0.9458333333333332
deffuant	cross_hypothesis_group_relation	0.0	7	full_discovery	28	15	0.5357142857142857	0.9355555555555556
deffuant	cross_hypothesis_group_relation	0.0	8	full_discovery	28	16	0.5714285714285714	0.9479166666666669
deffuant	cross_hypothesis_group_relation	0.0	9	full_discovery	28	16	0.5714285714285714	0.9520833333333334
deffuant	cross_hypothesis_group_relation	0.0	10	full_discovery	28	16	0.5714285714285714	0.9458333333333332
deffuant	cross_hypothesis_group_relation	0.0	11	full_discovery	28	16	0.5714285714285714	0.9520833333333334
deffuant	cross_hypothesis_group_relation	0.1	0	full_discovery	31	16	0.5161290322580645	0.9604166666666668
deffuant	cross_hypothesis_group_relation	0.1	1	full_discovery	31	17	0.5483870967741935	0.9549019607843138
deffuant	cross_hypothesis_group_relation	0.1	2	full_discovery	31	18	0.5806451612903226	0.9370370370370372
deffuant	cross_hypothesis_group_relation	0.1	3	full_discovery	31	19	0.6129032258064516	0.9315789473684212
deffuant	cross_hypothesis_group_relation	0.1	4	full_discovery	31	17	0.5483870967741935	0.9509803921568628
deffuant	cross_hypothesis_group_relation	0.1	5	full_discovery	31	16	0.5161290322580645	0.95
deffuant	cross_hypothesis_group_relation	0.1	6	full_discovery	31	16	0.5161290322580645	0.9583333333333334
deffuant	cross_hypothesis_group_relation	0.1	7	full_discovery	31	18	0.5806451612903226	0.9407407407407408
deffuant	cross_hypothesis_group_relation	0.1	8	full_discovery	31	20	0.6451612903225806	0.9316666666666666
