scenario	path_id	candidate	temporal_qualified	primary_supported	primary_classification	holdout_status	holdout_confirmed	holdout_evaluated
schelling	dest_minus_dest_sim_to_dest_std_to_global_unhappy	True	True	False	contradicted	NA	NA	False
schelling	dest_minus_dest_sim_to_move_std_to_components	True	True	False	contradicted	NA	NA	False
schelling	dest_plus_dest_sim_to_boundary_std_to_global_unhappy	True	True	False	manipulation_failure	NA	NA	False
schelling	dest_plus_dest_sim_to_dest_std_to_spatial_sim	True	True	False	manipulation_failure	NA	NA	False
schelling	dest_plus_dest_sim_to_group_entropy_to_components	True	True	False	manipulation_failure	NA	NA	False
schelling	move_minus_moved_to_boundary_std_to_components	True	True	False	inconclusive	NA	NA	False
schelling	move_minus_response_to_unhappy_std_to_global_unhappy	True	True	False	manipulation_failure	NA	NA	False
schelling	move_plus_moved_to_dest_std_to_spatial_sim	True	True	False	contradicted	NA	NA	False
schelling	move_plus_moved_to_neighbour_std_to_global_unhappy	True	True	False	inconclusive	NA	NA	False
schelling	move_plus_response_to_move_std_to_global_moved	True	True	False	manipulation_failure	NA	NA	False
schelling	tol_minus_unhappy_to_move_std_to_spatial_sim	True	True	True	supported	confirmed	True	True
schelling	tol_minus_unhappy_to_unhappy_std_to_components	True	True	True	supported	confirmed	True	True
schelling	tol_plus_unhappy_to_boundary_std_to_spatial_sim	True	False	False	inconclusive	NA	NA	False
schelling	tol_plus_unhappy_to_dest_std_to_components	True	True	False	inconclusive	NA	NA	False
schelling	tol_plus_unhappy_to_group_entropy_to_components	True	True	False	inconclusive	NA	NA	False
schelling	tol_plus_unhappy_to_move_std_to_global_moved	True	True	True	supported	inconclusive	False	True
deffuant	as_minus_shift_absostd_gmean	True	False	False	inconclusive	NA	NA	False
deffuant	as_minus_shift_absovar_lcc	True	False	False	inconclusive	NA	NA	False
deffuant	as_minus_shift_ovar_gvar	True	True	False	manipulation_failure	NA	NA	False
deffuant	as_plus_shift_diststd_assort	True	True	False	inconclusive	NA	NA	False
deffuant	as_plus_shift_ostd_gvar	True	True	False	inconclusive	NA	NA	False
deffuant	as_plus_shift_shiftstd_gmean	True	False	False	inconclusive	NA	NA	False
deffuant	bt_minus_backfire_absostd_assort	True	False	False	inconclusive	NA	NA	False
deffuant	bt_minus_backfire_diststd_assort	True	False	False	inconclusive	NA	NA	False
deffuant	bt_minus_backfire_ostd_gvar	True	False	False	inconclusive	NA	NA	False
deffuant	bt_plus_backfire_distvar_lcc	True	False	False	inconclusive	NA	NA	False
deffuant	bt_plus_backfire_ovar_gvar	True	False	False	inconclusive	NA	NA	False
deffuant	bt_plus_backfire_shiftstd_gmean	True	True	False	inconclusive	NA	NA	False
deffuant	cb_minus_accept_absovar_assort	True	True	True	supported	confirmed	True	True
deffuant	cb_minus_accept_diststd_lcc	True	False	False	inconclusive	NA	NA	False
deffuant	cb_minus_accept_ovar_gvar	True	True	True	supported	confirmed	True	True
deffuant	cb_plus_accept_absostd_gmean	True	False	False	inconclusive	NA	NA	False
deffuant	cb_plus_accept_distvar_lcc	True	False	False	inconclusive	NA	NA	False
deffuant	cb_plus_accept_ostd_gvar	True	True	True	supported	inconclusive	False	True
