panel	scenario	path_id	path_classification	x_field	y_field	x	y	plotted	source_file
a	deffuant	as_minus_shift_ovar_gvar	manipulation_failure	micro_meso_observational_lag	micro_meso_intervention_delay	1.0	7.0	True	analysis/path_timing_concordance.csv
a	deffuant	as_plus_shift_diststd_assort	inconclusive	micro_meso_observational_lag	micro_meso_intervention_delay	5.0	NA	False	analysis/path_timing_concordance.csv
a	deffuant	as_plus_shift_ostd_gvar	inconclusive	micro_meso_observational_lag	micro_meso_intervention_delay	1.0	NA	False	analysis/path_timing_concordance.csv
a	deffuant	bt_plus_backfire_shiftstd_gmean	inconclusive	micro_meso_observational_lag	micro_meso_intervention_delay	1.0	NA	False	analysis/path_timing_concordance.csv
a	deffuant	cb_minus_accept_absovar_assort	supported	micro_meso_observational_lag	micro_meso_intervention_delay	1.0	1.0	True	analysis/path_timing_concordance.csv
a	deffuant	cb_minus_accept_ovar_gvar	supported	micro_meso_observational_lag	micro_meso_intervention_delay	4.0	4.0	True	analysis/path_timing_concordance.csv
a	deffuant	cb_plus_accept_ostd_gvar	supported	micro_meso_observational_lag	micro_meso_intervention_delay	4.0	2.0	True	analysis/path_timing_concordance.csv
a	schelling	dest_minus_dest_sim_to_dest_std_to_global_unhappy	contradicted	micro_meso_observational_lag	micro_meso_intervention_delay	4.0	37.0	True	analysis/path_timing_concordance.csv
a	schelling	dest_minus_dest_sim_to_move_std_to_components	contradicted	micro_meso_observational_lag	micro_meso_intervention_delay	4.0	11.0	True	analysis/path_timing_concordance.csv
a	schelling	dest_plus_dest_sim_to_boundary_std_to_global_unhappy	manipulation_failure	micro_meso_observational_lag	micro_meso_intervention_delay	1.0	NA	False	analysis/path_timing_concordance.csv
a	schelling	dest_plus_dest_sim_to_dest_std_to_spatial_sim	manipulation_failure	micro_meso_observational_lag	micro_meso_intervention_delay	4.0	NA	False	analysis/path_timing_concordance.csv
a	schelling	dest_plus_dest_sim_to_group_entropy_to_components	manipulation_failure	micro_meso_observational_lag	micro_meso_intervention_delay	1.0	NA	False	analysis/path_timing_concordance.csv
a	schelling	move_minus_moved_to_boundary_std_to_components	inconclusive	micro_meso_observational_lag	micro_meso_intervention_delay	5.0	1.0	True	analysis/path_timing_concordance.csv
a	schelling	move_minus_response_to_unhappy_std_to_global_unhappy	manipulation_failure	micro_meso_observational_lag	micro_meso_intervention_delay	1.0	15.0	True	analysis/path_timing_concordance.csv
a	schelling	move_plus_moved_to_dest_std_to_spatial_sim	contradicted	micro_meso_observational_lag	micro_meso_intervention_delay	1.0	0.0	True	analysis/path_timing_concordance.csv
a	schelling	move_plus_moved_to_neighbour_std_to_global_unhappy	inconclusive	micro_meso_observational_lag	micro_meso_intervention_delay	2.0	NA	False	analysis/path_timing_concordance.csv
a	schelling	move_plus_response_to_move_std_to_global_moved	manipulation_failure	micro_meso_observational_lag	micro_meso_intervention_delay	2.0	0.0	True	analysis/path_timing_concordance.csv
a	schelling	tol_minus_unhappy_to_move_std_to_spatial_sim	supported	micro_meso_observational_lag	micro_meso_intervention_delay	5.0	0.0	True	analysis/path_timing_concordance.csv
a	schelling	tol_minus_unhappy_to_unhappy_std_to_components	supported	micro_meso_observational_lag	micro_meso_intervention_delay	1.0	0.0	True	analysis/path_timing_concordance.csv
a	schelling	tol_plus_unhappy_to_dest_std_to_components	inconclusive	micro_meso_observational_lag	micro_meso_intervention_delay	5.0	0.0	True	analysis/path_timing_concordance.csv
a	schelling	tol_plus_unhappy_to_group_entropy_to_components	inconclusive	micro_meso_observational_lag	micro_meso_intervention_delay	1.0	NA	False	analysis/path_timing_concordance.csv
a	schelling	tol_plus_unhappy_to_move_std_to_global_moved	supported	micro_meso_observational_lag	micro_meso_intervention_delay	5.0	0.0	True	analysis/path_timing_concordance.csv
b	deffuant	as_minus_shift_ovar_gvar	manipulation_failure	meso_macro_observational_lag	meso_macro_intervention_delay	1.0	2.0	True	analysis/path_timing_concordance.csv
b	deffuant	as_plus_shift_diststd_assort	inconclusive	meso_macro_observational_lag	meso_macro_intervention_delay	1.0	NA	False	analysis/path_timing_concordance.csv
b	deffuant	as_plus_shift_ostd_gvar	inconclusive	meso_macro_observational_lag	meso_macro_intervention_delay	1.0	NA	False	analysis/path_timing_concordance.csv
b	deffuant	bt_plus_backfire_shiftstd_gmean	inconclusive	meso_macro_observational_lag	meso_macro_intervention_delay	1.0	NA	False	analysis/path_timing_concordance.csv
b	deffuant	cb_minus_accept_absovar_assort	supported	meso_macro_observational_lag	meso_macro_intervention_delay	3.0	15.0	True	analysis/path_timing_concordance.csv
b	deffuant	cb_minus_accept_ovar_gvar	supported	meso_macro_observational_lag	meso_macro_intervention_delay	1.0	0.0	True	analysis/path_timing_concordance.csv
