scenario	path_id	parameter	direction	hypothesis_group_id	micro	meso	macro	expected_micro_response	expected_meso_response	expected_macro_response	micro_effect	meso_effect	macro_effect	micro_significant	meso_significant	macro_significant	micro_onset	meso_onset	macro_onset	micro_meso_observational_beta	meso_macro_observational_beta	micro_meso_observational_lag	meso_macro_observational_lag	micro_meso_intervention_delay	meso_macro_intervention_delay	micro_meso_temporal_direction_concordant	meso_macro_temporal_direction_concordant	micro_meso_lag_difference	meso_macro_lag_difference	micro_meso_lag_concordant	meso_macro_lag_concordant	observational_total_lag	intervention_total_latency	total_lag_difference	total_lag_concordant	manipulation_success	response_direction_supported	onset_order_supported	path_classification	reason
deffuant	as_minus_shift_ovar_gvar	assimilation_strength	minus	macro_outcome_macro_opinion_global_variance	micro_mean_abs_agent_shift	meso_neighborhood_opinion_variance	macro_opinion_global_variance	decrease	increase	increase	-0.0862345684606112	0.1491503226741312	0.0156295426397383	False	True	False	0	7	9	-0.0129694138169016	0.0359319117769576	1.0	1.0	7.0	2.0	True	True	6.0	1.0	False	True	2.0	9.0	7.0	False	False	True	True	manipulation_failure	required_micro_manipulation_failed
deffuant	as_plus_shift_diststd_assort	assimilation_strength	plus	macro_outcome_macro_network_assortativity	micro_mean_abs_agent_shift	meso_neighborhood_interaction_distance_std	macro_network_assortativity	increase	decrease	increase	0.2127103551405639	-0.0477715322882395	0.0324873884309337	True	False	False	0	-1	-1	0.1646989334817379	0.0098926850398973	5.0	1.0	NA	NA	False	False	NA	NA	False	False	6.0	NA	NA	False	True	True	False	inconclusive	required_multiscale_response_not_stable
deffuant	as_plus_shift_ostd_gvar	assimilation_strength	plus	macro_outcome_macro_opinion_global_variance	micro_mean_abs_agent_shift	meso_neighborhood_opinion_std	macro_opinion_global_variance	increase	decrease	decrease	0.2127103551405639	-0.0592485619012456	-0.0215210923173224	True	False	False	0	-1	-1	-0.0120219138737783	-0.0254264740712614	1.0	1.0	NA	NA	True	False	NA	NA	False	False	2.0	NA	NA	False	True	True	False	inconclusive	required_multiscale_response_not_stable
deffuant	bt_plus_backfire_shiftstd_gmean	backfire_threshold	plus	macro_outcome_macro_opinion_global_mean	micro_backfire_fraction	meso_neighborhood_agent_shift_std	macro_opinion_global_mean	decrease	decrease	decrease	-0.4870857469652804	-0.0640640645111414	-0.0809022014515266	True	False	False	0	-1	-1	0.0752378671008113	0.001197853916808	1.0	1.0	NA	NA	True	True	NA	NA	False	False	2.0	NA	NA	False	True	True	False	inconclusive	required_multiscale_response_not_stable
deffuant	cb_minus_accept_absovar_assort	confidence_bound	minus	macro_outcome_macro_network_assortativity	micro_accepted_fraction	meso_neighborhood_abs_opinion_variance	macro_network_assortativity	decrease	increase	decrease	-0.8313759904925954	1.7788837381893383	-0.2240428631534536	True	True	True	0	1	16	-0.0301087092394468	0.0720125991331227	1.0	3.0	1.0	15.0	True	False	0.0	12.0	True	False	4.0	16.0	12.0	False	True	True	True	supported	all_stage3_v2_hard_criteria_supported
deffuant	cb_minus_accept_ovar_gvar	confidence_bound	minus	macro_outcome_macro_opinion_global_variance	micro_accepted_fraction	meso_neighborhood_opinion_variance	macro_opinion_global_variance	decrease	increase	increase	-0.8313759904925954	0.5407655409175115	0.585817966945072	True	True	True	0	4	4	-0.0293738963720529	0.0359319117769576	4.0	1.0	4.0	0.0	True	True	0.0	-1.0	True	True	5.0	4.0	-1.0	True	True	True	True	supported	all_stage3_v2_hard_criteria_supported
deffuant	cb_plus_accept_ostd_gvar	confidence_bound	plus	macro_outcome_macro_opinion_global_variance	micro_accepted_fraction	meso_neighborhood_opinion_std	macro_opinion_global_variance	increase	decrease	decrease	0.6414189382753075	-0.7477673879659644	-3.882337048841469	True	True	True	0	2	2	-0.0210661613112157	-0.0254264740712614	4.0	1.0	2.0	0.0	True	False	-2.0	-1.0	True	True	5.0	2.0	-3.0	False	True	True	True	supported	all_stage3_v2_hard_criteria_supported
schelling	dest_minus_dest_sim_to_dest_std_to_global_unhappy	destination_preference	minus	macro_outcome_macro_global_unhappy_fraction	mean_destination_similarity_movers	meso_district_destination_similarity_std	macro_global_unhappy_fraction	decrease	decrease	increase	0.2660373976867192	0.3948835471921246	0.7223266216165585	True	True	True	0	37	1	0.0675260282393675	-0.0333856367945291	4.0	1.0	37.0	-36.0	True	False	33.0	-37.0	False	False	5.0	1.0	-4.0	False	True	False	False	contradicted	frozen_response_direction_contradicted
schelling	dest_minus_dest_sim_to_move_std_to_components	destination_preference	minus	macro_outcome_macro_global_connected_components	mean_destination_similarity_movers	meso_district_move_distance_std	macro_global_connected_components	decrease	increase	increase	0.2660373976867192	0.5645883599485648	0.684777040727394	True	True	True	0	11	1	0.039100340236638	-0.0123496361658094	4.0	1.0	11.0	-10.0	True	False	7.0	-11.0	False	False	5.0	1.0	-4.0	False	True	False	False	contradicted	frozen_response_direction_contradicted
schelling	dest_plus_dest_sim_to_boundary_std_to_global_unhappy	destination_preference	plus	macro_outcome_macro_global_unhappy_fraction	mean_destination_similarity_movers	meso_district_boundary_fraction_std	macro_global_unhappy_fraction	increase	decrease	decrease	-0.0384399855283769	-0.068882943874273	-0.1114504692614298	False	False	False	-1	-1	1	-0.0139602697840729	0.0076281837398264	1.0	1.0	NA	NA	False	True	NA	NA	False	False	2.0	NA	NA	False	False	False	False	manipulation_failure	required_micro_manipulation_failed
schelling	dest_plus_dest_sim_to_dest_std_to_spatial_sim	destination_preference	plus	macro_outcome_macro_global_spatial_neighbor_similarity	mean_destination_similarity_movers	meso_district_destination_similarity_std	macro_global_spatial_neighbor_similarity	increase	increase	increase	-0.0384399855283769	-0.063951601480493	0.1125361554044092	False	False	False	-1	-1	1	0.0675260282393675	0.05769395039596	4.0	1.0	NA	NA	True	False	NA	NA	False	False	5.0	NA	NA	False	False	False	False	manipulation_failure	required_micro_manipulation_failed
schelling	dest_plus_dest_sim_to_group_entropy_to_components	destination_preference	plus	macro_outcome_macro_global_connected_components	mean_destination_similarity_movers	meso_district_group_entropy_mean	macro_global_connected_components	increase	decrease	decrease	-0.0384399855283769	0.0854603600542708	-0.047935120795045	False	False	False	-1	-1	4	-0.0076726675416978	-0.1199195353682889	1.0	1.0	NA	NA	True	True	NA	NA	False	False	2.0	NA	NA	False	False	False	False	manipulation_failure	required_micro_manipulation_failed
schelling	move_minus_moved_to_boundary_std_to_components	move_probability	minus	macro_outcome_macro_global_connected_components	moved_fraction	meso_district_boundary_fraction_std	macro_global_connected_components	decrease	increase	increase	0.3084241721235077	-0.0449603430395152	1.1998703053374755	True	False	True	0	1	1	-0.0481665709703949	0.0100149946804806	5.0	2.0	1.0	0.0	True	False	-4.0	-2.0	False	True	7.0	1.0	-6.0	False	True	False	True	inconclusive	required_multiscale_response_not_stable
schelling	move_minus_response_to_unhappy_std_to_global_unhappy	move_probability	minus	macro_outcome_macro_global_unhappy_fraction	relocation_response_fraction	meso_district_unhappy_fraction_std	macro_global_unhappy_fraction	decrease	increase	increase	-0.0546564199460463	1.0294166904980138	1.1792087584621544	False	True	True	0	15	1	-0.015307166344495	0.0046102316260376	1.0	5.0	15.0	-14.0	True	True	14.0	-19.0	False	False	6.0	1.0	-5.0	False	False	True	False	manipulation_failure	required_micro_manipulation_failed
schelling	move_plus_moved_to_dest_std_to_spatial_sim	move_probability	plus	macro_outcome_macro_global_spatial_neighbor_similarity	moved_fraction	meso_district_destination_similarity_std	macro_global_spatial_neighbor_similarity	increase	increase	increase	-0.2787196878892839	-0.3142791379912554	0.4482393507792006	True	True	True	0	0	1	-0.1381376382835675	0.05769395039596	1.0	1.0	0.0	1.0	False	False	-1.0	0.0	True	True	2.0	1.0	-1.0	True	True	False	True	contradicted	frozen_response_direction_contradicted
schelling	move_plus_moved_to_neighbour_std_to_global_unhappy	move_probability	plus	macro_outcome_macro_global_unhappy_fraction	moved_fraction	meso_district_neighbour_count_std	macro_global_unhappy_fraction	increase	increase	decrease	-0.2787196878892839	0.0169405544069148	-0.4198371902882867	True	False	True	0	-1	1	-0.0599515813971436	-0.0148251987026283	2.0	2.0	NA	NA	True	True	NA	NA	False	False	4.0	1.0	-3.0	False	True	False	False	inconclusive	required_multiscale_response_not_stable
schelling	move_plus_response_to_move_std_to_global_moved	move_probability	plus	macro_outcome_macro_global_moved_fraction	relocation_response_fraction	meso_district_move_fraction_std	macro_global_moved_fraction	increase	increase	increase	-0.0556050592811951	-0.3189939138418262	-0.2787196878892839	False	True	True	0	0	0	-0.0285702098981773	0.0771999019395328	2.0	4.0	0.0	0.0	False	True	-2.0	-4.0	True	False	6.0	0.0	-6.0	False	False	False	True	manipulation_failure	required_micro_manipulation_failed
schelling	tol_minus_unhappy_to_move_std_to_spatial_sim	tolerance	minus	macro_outcome_macro_global_spatial_neighbor_similarity	unhappy_fraction	meso_district_move_fraction_std	macro_global_spatial_neighbor_similarity	decrease	decrease	decrease	-0.2378518138150472	-0.2094093064753491	-3.340027328067182	True	True	True	0	0	1	-1.021119994928868	-0.0283137190576884	5.0	1.0	0.0	1.0	False	False	-5.0	0.0	False	True	6.0	1.0	-5.0	False	True	True	True	supported	all_stage3_v2_hard_criteria_supported
schelling	tol_minus_unhappy_to_unhappy_std_to_components	tolerance	minus	macro_outcome_macro_global_connected_components	unhappy_fraction	meso_district_unhappy_fraction_std	macro_global_connected_components	decrease	decrease	increase	-0.2378518138150472	-0.2701468409811486	1.7000771125404406	True	True	True	0	0	2	0.2147159204903846	0.0370707490799357	1.0	1.0	0.0	2.0	True	False	-1.0	1.0	True	True	2.0	2.0	0.0	True	True	True	True	supported	all_stage3_v2_hard_criteria_supported
schelling	tol_plus_unhappy_to_dest_std_to_components	tolerance	plus	macro_outcome_macro_global_connected_components	unhappy_fraction	meso_district_destination_similarity_std	macro_global_connected_components	increase	increase	decrease	0.6810788178937784	0.4677365061048846	-0.1439145540042583	True	True	False	0	0	76	-0.741309365855749	-0.0171531799894393	5.0	1.0	0.0	76.0	False	True	-5.0	75.0	False	False	6.0	76.0	70.0	False	True	True	True	inconclusive	required_multiscale_response_not_stable
schelling	tol_plus_unhappy_to_group_entropy_to_components	tolerance	plus	macro_outcome_macro_global_connected_components	unhappy_fraction	meso_district_group_entropy_mean	macro_global_connected_components	increase	decrease	decrease	0.6810788178937784	-0.257047013783002	-0.1439145540042583	True	False	False	0	-1	76	-0.040344290304215	-0.1199195353682889	1.0	1.0	NA	NA	True	False	NA	NA	False	False	2.0	76.0	74.0	False	True	True	False	inconclusive	required_multiscale_response_not_stable
schelling	tol_plus_unhappy_to_move_std_to_global_moved	tolerance	plus	macro_outcome_macro_global_moved_fraction	unhappy_fraction	meso_district_move_fraction_std	macro_global_moved_fraction	increase	increase	increase	0.6810788178937784	0.5241375378923637	0.5992621073123257	True	True	True	0	0	0	-1.021119994928868	0.0771999019395328	5.0	4.0	0.0	0.0	False	True	-5.0	-4.0	False	False	9.0	0.0	-9.0	False	True	True	True	supported	all_stage3_v2_hard_criteria_supported
