scenario	path_id	parameter	direction	micro	meso	macro	stage_1	stage_2	stage_3	saved_primary_class	holdout_confirmed
schelling	tol_plus_unhappy_to_move_std_to_global_moved	tolerance	plus	unhappy_fraction	meso_district_move_fraction_std	macro_global_moved_fraction	True	True	True	supported	False
schelling	tol_plus_unhappy_to_boundary_std_to_spatial_sim	tolerance	plus	unhappy_fraction	meso_district_boundary_fraction_std	macro_global_spatial_neighbor_similarity	True	False	False	inconclusive	False
schelling	tol_plus_unhappy_to_group_entropy_to_components	tolerance	plus	unhappy_fraction	meso_district_group_entropy_mean	macro_global_connected_components	True	True	False	inconclusive	False
schelling	tol_minus_unhappy_to_unhappy_std_to_components	tolerance	minus	unhappy_fraction	meso_district_unhappy_fraction_std	macro_global_connected_components	True	True	True	supported	True
schelling	tol_minus_unhappy_to_move_std_to_spatial_sim	tolerance	minus	unhappy_fraction	meso_district_move_fraction_std	macro_global_spatial_neighbor_similarity	True	True	True	supported	True
schelling	tol_plus_unhappy_to_dest_std_to_components	tolerance	plus	unhappy_fraction	meso_district_destination_similarity_std	macro_global_connected_components	True	True	False	inconclusive	False
schelling	move_plus_response_to_move_std_to_global_moved	move_probability	plus	relocation_response_fraction	meso_district_move_fraction_std	macro_global_moved_fraction	True	True	False	manipulation_failure	False
schelling	move_plus_moved_to_dest_std_to_spatial_sim	move_probability	plus	moved_fraction	meso_district_destination_similarity_std	macro_global_spatial_neighbor_similarity	True	True	False	contradicted	False
schelling	move_minus_response_to_unhappy_std_to_global_unhappy	move_probability	minus	relocation_response_fraction	meso_district_unhappy_fraction_std	macro_global_unhappy_fraction	True	True	False	manipulation_failure	False
schelling	move_minus_moved_to_boundary_std_to_components	move_probability	minus	moved_fraction	meso_district_boundary_fraction_std	macro_global_connected_components	True	True	False	inconclusive	False
schelling	move_plus_moved_to_neighbour_std_to_global_unhappy	move_probability	plus	moved_fraction	meso_district_neighbour_count_std	macro_global_unhappy_fraction	True	True	False	inconclusive	False
schelling	dest_plus_dest_sim_to_dest_std_to_spatial_sim	destination_preference	plus	mean_destination_similarity_movers	meso_district_destination_similarity_std	macro_global_spatial_neighbor_similarity	True	True	False	manipulation_failure	False
schelling	dest_plus_dest_sim_to_boundary_std_to_global_unhappy	destination_preference	plus	mean_destination_similarity_movers	meso_district_boundary_fraction_std	macro_global_unhappy_fraction	True	True	False	manipulation_failure	False
schelling	dest_plus_dest_sim_to_group_entropy_to_components	destination_preference	plus	mean_destination_similarity_movers	meso_district_group_entropy_mean	macro_global_connected_components	True	True	False	manipulation_failure	False
schelling	dest_minus_dest_sim_to_dest_std_to_global_unhappy	destination_preference	minus	mean_destination_similarity_movers	meso_district_destination_similarity_std	macro_global_unhappy_fraction	True	True	False	contradicted	False
schelling	dest_minus_dest_sim_to_move_std_to_components	destination_preference	minus	mean_destination_similarity_movers	meso_district_move_distance_std	macro_global_connected_components	True	True	False	contradicted	False
deffuant	cb_plus_accept_ostd_gvar	confidence_bound	plus	micro_accepted_fraction	meso_neighborhood_opinion_std	macro_opinion_global_variance	True	True	True	supported	False
deffuant	cb_minus_accept_ovar_gvar	confidence_bound	minus	micro_accepted_fraction	meso_neighborhood_opinion_variance	macro_opinion_global_variance	True	True	True	supported	True
deffuant	cb_plus_accept_distvar_lcc	confidence_bound	plus	micro_accepted_fraction	meso_neighborhood_interaction_distance_variance	macro_network_largest_component_fraction	True	False	False	inconclusive	False
deffuant	cb_minus_accept_diststd_lcc	confidence_bound	minus	micro_accepted_fraction	meso_neighborhood_interaction_distance_std	macro_network_largest_component_fraction	True	False	False	inconclusive	False
deffuant	cb_plus_accept_absostd_gmean	confidence_bound	plus	micro_accepted_fraction	meso_neighborhood_abs_opinion_std	macro_opinion_global_mean	True	False	False	inconclusive	False
deffuant	cb_minus_accept_absovar_assort	confidence_bound	minus	micro_accepted_fraction	meso_neighborhood_abs_opinion_variance	macro_network_assortativity	True	True	True	supported	True
deffuant	as_plus_shift_ostd_gvar	assimilation_strength	plus	micro_mean_abs_agent_shift	meso_neighborhood_opinion_std	macro_opinion_global_variance	True	True	False	inconclusive	False
deffuant	as_minus_shift_ovar_gvar	assimilation_strength	minus	micro_mean_abs_agent_shift	meso_neighborhood_opinion_variance	macro_opinion_global_variance	True	True	False	manipulation_failure	False
deffuant	as_plus_shift_shiftstd_gmean	assimilation_strength	plus	micro_mean_abs_agent_shift	meso_neighborhood_agent_shift_std	macro_opinion_global_mean	True	False	False	inconclusive	False
deffuant	as_minus_shift_absovar_lcc	assimilation_strength	minus	micro_mean_abs_agent_shift	meso_neighborhood_abs_opinion_variance	macro_network_largest_component_fraction	True	False	False	inconclusive	False
deffuant	as_plus_shift_diststd_assort	assimilation_strength	plus	micro_mean_abs_agent_shift	meso_neighborhood_interaction_distance_std	macro_network_assortativity	True	True	False	inconclusive	False
deffuant	as_minus_shift_absostd_gmean	assimilation_strength	minus	micro_mean_abs_agent_shift	meso_neighborhood_abs_opinion_std	macro_opinion_global_mean	True	False	False	inconclusive	False
deffuant	bt_plus_backfire_ovar_gvar	backfire_threshold	plus	micro_backfire_fraction	meso_neighborhood_opinion_variance	macro_opinion_global_variance	True	False	False	inconclusive	False
deffuant	bt_minus_backfire_ostd_gvar	backfire_threshold	minus	micro_backfire_fraction	meso_neighborhood_opinion_std	macro_opinion_global_variance	True	False	False	inconclusive	False
deffuant	bt_plus_backfire_distvar_lcc	backfire_threshold	plus	micro_backfire_fraction	meso_neighborhood_interaction_distance_variance	macro_network_largest_component_fraction	True	False	False	inconclusive	False
deffuant	bt_minus_backfire_diststd_assort	backfire_threshold	minus	micro_backfire_fraction	meso_neighborhood_interaction_distance_std	macro_network_assortativity	True	False	False	inconclusive	False
deffuant	bt_plus_backfire_shiftstd_gmean	backfire_threshold	plus	micro_backfire_fraction	meso_neighborhood_agent_shift_std	macro_opinion_global_mean	True	True	False	inconclusive	False
deffuant	bt_minus_backfire_absostd_assort	backfire_threshold	minus	micro_backfire_fraction	meso_neighborhood_abs_opinion_std	macro_network_assortativity	True	False	False	inconclusive	False
