scenario	stage	source	target	path_reuse_count	path_ids	holdout_path_ids	terminal_holdout_marker
schelling	1	mean_destination_similarity_movers	meso_district_boundary_fraction_std	1	"[""dest_plus_dest_sim_to_boundary_std_to_global_unhappy""]"	[]	False
schelling	1	mean_destination_similarity_movers	meso_district_destination_similarity_std	2	"[""dest_minus_dest_sim_to_dest_std_to_global_unhappy"", ""dest_plus_dest_sim_to_dest_std_to_spatial_sim""]"	[]	False
schelling	1	mean_destination_similarity_movers	meso_district_group_entropy_mean	1	"[""dest_plus_dest_sim_to_group_entropy_to_components""]"	[]	False
schelling	1	mean_destination_similarity_movers	meso_district_move_distance_std	1	"[""dest_minus_dest_sim_to_move_std_to_components""]"	[]	False
schelling	1	meso_district_boundary_fraction_std	macro_global_connected_components	1	"[""move_minus_moved_to_boundary_std_to_components""]"	[]	False
schelling	1	meso_district_boundary_fraction_std	macro_global_spatial_neighbor_similarity	1	"[""tol_plus_unhappy_to_boundary_std_to_spatial_sim""]"	[]	False
schelling	1	meso_district_boundary_fraction_std	macro_global_unhappy_fraction	1	"[""dest_plus_dest_sim_to_boundary_std_to_global_unhappy""]"	[]	False
schelling	1	meso_district_destination_similarity_std	macro_global_connected_components	1	"[""tol_plus_unhappy_to_dest_std_to_components""]"	[]	False
schelling	1	meso_district_destination_similarity_std	macro_global_spatial_neighbor_similarity	2	"[""dest_plus_dest_sim_to_dest_std_to_spatial_sim"", ""move_plus_moved_to_dest_std_to_spatial_sim""]"	[]	False
schelling	1	meso_district_destination_similarity_std	macro_global_unhappy_fraction	1	"[""dest_minus_dest_sim_to_dest_std_to_global_unhappy""]"	[]	False
schelling	1	meso_district_group_entropy_mean	macro_global_connected_components	2	"[""dest_plus_dest_sim_to_group_entropy_to_components"", ""tol_plus_unhappy_to_group_entropy_to_components""]"	[]	False
schelling	1	meso_district_move_distance_std	macro_global_connected_components	1	"[""dest_minus_dest_sim_to_move_std_to_components""]"	[]	False
schelling	1	meso_district_move_fraction_std	macro_global_moved_fraction	2	"[""move_plus_response_to_move_std_to_global_moved"", ""tol_plus_unhappy_to_move_std_to_global_moved""]"	[]	False
schelling	1	meso_district_move_fraction_std	macro_global_spatial_neighbor_similarity	1	"[""tol_minus_unhappy_to_move_std_to_spatial_sim""]"	[]	False
schelling	1	meso_district_neighbour_count_std	macro_global_unhappy_fraction	1	"[""move_plus_moved_to_neighbour_std_to_global_unhappy""]"	[]	False
schelling	1	meso_district_unhappy_fraction_std	macro_global_connected_components	1	"[""tol_minus_unhappy_to_unhappy_std_to_components""]"	[]	False
schelling	1	meso_district_unhappy_fraction_std	macro_global_unhappy_fraction	1	"[""move_minus_response_to_unhappy_std_to_global_unhappy""]"	[]	False
schelling	1	moved_fraction	meso_district_boundary_fraction_std	1	"[""move_minus_moved_to_boundary_std_to_components""]"	[]	False
schelling	1	moved_fraction	meso_district_destination_similarity_std	1	"[""move_plus_moved_to_dest_std_to_spatial_sim""]"	[]	False
schelling	1	moved_fraction	meso_district_neighbour_count_std	1	"[""move_plus_moved_to_neighbour_std_to_global_unhappy""]"	[]	False
schelling	1	parameter:destination_preference	mean_destination_similarity_movers	5	"[""dest_minus_dest_sim_to_dest_std_to_global_unhappy"", ""dest_minus_dest_sim_to_move_std_to_components"", ""dest_plus_dest_sim_to_boundary_std_to_global_unhappy"", ""dest_plus_dest_sim_to_dest_std_to_spatial_sim"", ""dest_plus_dest_sim_to_group_entropy_to_components""]"	[]	False
schelling	1	parameter:move_probability	moved_fraction	3	"[""move_minus_moved_to_boundary_std_to_components"", ""move_plus_moved_to_dest_std_to_spatial_sim"", ""move_plus_moved_to_neighbour_std_to_global_unhappy""]"	[]	False
schelling	1	parameter:move_probability	relocation_response_fraction	2	"[""move_minus_response_to_unhappy_std_to_global_unhappy"", ""move_plus_response_to_move_std_to_global_moved""]"	[]	False
schelling	1	parameter:tolerance	unhappy_fraction	6	"[""tol_minus_unhappy_to_move_std_to_spatial_sim"", ""tol_minus_unhappy_to_unhappy_std_to_components"", ""tol_plus_unhappy_to_boundary_std_to_spatial_sim"", ""tol_plus_unhappy_to_dest_std_to_components"", ""tol_plus_unhappy_to_group_entropy_to_components"", ""tol_plus_unhappy_to_move_std_to_global_moved""]"	[]	False
schelling	1	relocation_response_fraction	meso_district_move_fraction_std	1	"[""move_plus_response_to_move_std_to_global_moved""]"	[]	False
schelling	1	relocation_response_fraction	meso_district_unhappy_fraction_std	1	"[""move_minus_response_to_unhappy_std_to_global_unhappy""]"	[]	False
schelling	1	unhappy_fraction	meso_district_boundary_fraction_std	1	"[""tol_plus_unhappy_to_boundary_std_to_spatial_sim""]"	[]	False
schelling	1	unhappy_fraction	meso_district_destination_similarity_std	1	"[""tol_plus_unhappy_to_dest_std_to_components""]"	[]	False
schelling	1	unhappy_fraction	meso_district_group_entropy_mean	1	"[""tol_plus_unhappy_to_group_entropy_to_components""]"	[]	False
schelling	1	unhappy_fraction	meso_district_move_fraction_std	2	"[""tol_minus_unhappy_to_move_std_to_spatial_sim"", ""tol_plus_unhappy_to_move_std_to_global_moved""]"	[]	False
schelling	1	unhappy_fraction	meso_district_unhappy_fraction_std	1	"[""tol_minus_unhappy_to_unhappy_std_to_components""]"	[]	False
schelling	2	mean_destination_similarity_movers	meso_district_boundary_fraction_std	1	"[""dest_plus_dest_sim_to_boundary_std_to_global_unhappy""]"	[]	False
schelling	2	mean_destination_similarity_movers	meso_district_destination_similarity_std	2	"[""dest_minus_dest_sim_to_dest_std_to_global_unhappy"", ""dest_plus_dest_sim_to_dest_std_to_spatial_sim""]"	[]	False
schelling	2	mean_destination_similarity_movers	meso_district_group_entropy_mean	1	"[""dest_plus_dest_sim_to_group_entropy_to_components""]"	[]	False
schelling	2	mean_destination_similarity_movers	meso_district_move_distance_std	1	"[""dest_minus_dest_sim_to_move_std_to_components""]"	[]	False
schelling	2	meso_district_boundary_fraction_std	macro_global_connected_components	1	"[""move_minus_moved_to_boundary_std_to_components""]"	[]	False
schelling	2	meso_district_boundary_fraction_std	macro_global_unhappy_fraction	1	"[""dest_plus_dest_sim_to_boundary_std_to_global_unhappy""]"	[]	False
schelling	2	meso_district_destination_similarity_std	macro_global_connected_components	1	"[""tol_plus_unhappy_to_dest_std_to_components""]"	[]	False
schelling	2	meso_district_destination_similarity_std	macro_global_spatial_neighbor_similarity	2	"[""dest_plus_dest_sim_to_dest_std_to_spatial_sim"", ""move_plus_moved_to_dest_std_to_spatial_sim""]"	[]	False
schelling	2	meso_district_destination_similarity_std	macro_global_unhappy_fraction	1	"[""dest_minus_dest_sim_to_dest_std_to_global_unhappy""]"	[]	False
schelling	2	meso_district_group_entropy_mean	macro_global_connected_components	2	"[""dest_plus_dest_sim_to_group_entropy_to_components"", ""tol_plus_unhappy_to_group_entropy_to_components""]"	[]	False
schelling	2	meso_district_move_distance_std	macro_global_connected_components	1	"[""dest_minus_dest_sim_to_move_std_to_components""]"	[]	False
schelling	2	meso_district_move_fraction_std	macro_global_moved_fraction	2	"[""move_plus_response_to_move_std_to_global_moved"", ""tol_plus_unhappy_to_move_std_to_global_moved""]"	[]	False
schelling	2	meso_district_move_fraction_std	macro_global_spatial_neighbor_similarity	1	"[""tol_minus_unhappy_to_move_std_to_spatial_sim""]"	[]	False
schelling	2	meso_district_neighbour_count_std	macro_global_unhappy_fraction	1	"[""move_plus_moved_to_neighbour_std_to_global_unhappy""]"	[]	False
schelling	2	meso_district_unhappy_fraction_std	macro_global_connected_components	1	"[""tol_minus_unhappy_to_unhappy_std_to_components""]"	[]	False
schelling	2	meso_district_unhappy_fraction_std	macro_global_unhappy_fraction	1	"[""move_minus_response_to_unhappy_std_to_global_unhappy""]"	[]	False
schelling	2	moved_fraction	meso_district_boundary_fraction_std	1	"[""move_minus_moved_to_boundary_std_to_components""]"	[]	False
schelling	2	moved_fraction	meso_district_destination_similarity_std	1	"[""move_plus_moved_to_dest_std_to_spatial_sim""]"	[]	False
schelling	2	moved_fraction	meso_district_neighbour_count_std	1	"[""move_plus_moved_to_neighbour_std_to_global_unhappy""]"	[]	False
schelling	2	relocation_response_fraction	meso_district_move_fraction_std	1	"[""move_plus_response_to_move_std_to_global_moved""]"	[]	False
schelling	2	relocation_response_fraction	meso_district_unhappy_fraction_std	1	"[""move_minus_response_to_unhappy_std_to_global_unhappy""]"	[]	False
schelling	2	unhappy_fraction	meso_district_destination_similarity_std	1	"[""tol_plus_unhappy_to_dest_std_to_components""]"	[]	False
schelling	2	unhappy_fraction	meso_district_group_entropy_mean	1	"[""tol_plus_unhappy_to_group_entropy_to_components""]"	[]	False
