scenario	method	metric	trajectory_count	repeated_subsamples	median	q25	q75	finite_point_count
schelling	full_method	temporal_qualification_rate	1	12	0.7758620689655172	0.7241379310344828	0.8620689655172413	12
schelling	full_method	temporal_qualification_rate	2	12	0.7413793103448276	0.7155172413793104	0.8620689655172413	12
schelling	full_method	temporal_qualification_rate	4	12	0.8275862068965517	0.7844827586206897	0.896551724137931	12
schelling	full_method	temporal_qualification_rate	8	12	0.8620689655172413	0.8275862068965517	0.8620689655172413	12
schelling	full_method	temporal_qualification_rate	12	12	0.8793103448275862	0.8275862068965517	0.9396551724137931	12
schelling	full_method	temporal_qualification_rate	16	12	0.896551724137931	0.8275862068965517	0.9051724137931034	12
schelling	full_method	temporal_qualification_rate	20	12	0.9310344827586208	0.9310344827586208	0.9655172413793104	12
schelling	full_method	temporal_qualification_rate	24	12	0.9655172413793104	0.9655172413793104	0.9655172413793104	12
schelling	full_method	stability	1	12	NA	NA	NA	0
schelling	full_method	stability	2	12	0.9814574314574314	0.9737681159420288	1.0	12
schelling	full_method	stability	4	12	0.9615384615384617	0.9485722610722611	0.9670138888888888	12
schelling	full_method	stability	8	12	0.9673333333333333	0.9593750000000001	0.9781388888888889	12
schelling	full_method	stability	12	12	0.9648351648351647	0.9596560846560847	0.972172619047619	12
schelling	full_method	stability	16	12	0.9685897435897436	0.9633432539682538	0.9764838556505223	12
schelling	full_method	stability	20	12	0.9698005698005698	0.961983822903363	0.9728988603988602	12
schelling	full_method	stability	24	12	0.9648809523809524	0.9642857142857144	0.9705357142857143	12
schelling	trajectory_vote	temporal_qualification_rate	1	12	0.7758620689655172	0.7241379310344828	0.8620689655172413	12
schelling	trajectory_vote	temporal_qualification_rate	2	12	0.8620689655172413	0.8448275862068966	0.9310344827586208	12
schelling	trajectory_vote	temporal_qualification_rate	4	12	0.896551724137931	0.8879310344827587	0.9310344827586208	12
schelling	trajectory_vote	temporal_qualification_rate	8	12	0.896551724137931	0.8620689655172413	0.9310344827586208	12
schelling	trajectory_vote	temporal_qualification_rate	12	12	0.896551724137931	0.8448275862068966	0.896551724137931	12
schelling	trajectory_vote	temporal_qualification_rate	16	12	0.896551724137931	0.896551724137931	0.896551724137931	12
schelling	trajectory_vote	temporal_qualification_rate	20	12	0.896551724137931	0.8620689655172413	0.896551724137931	12
schelling	trajectory_vote	temporal_qualification_rate	24	12	0.896551724137931	0.896551724137931	0.896551724137931	12
schelling	trajectory_vote	stability	1	12	NA	NA	NA	0
schelling	trajectory_vote	stability	2	12	0.86	0.8272113943028485	0.8894927536231884	12
schelling	trajectory_vote	stability	4	12	0.8201121794871795	0.8071581196581197	0.8613461538461539	12
