scenario	path_id	parameter	direction	hypothesis_group_id	micro	meso	macro	path_temporally_qualified	manipulation_success	micro_significant	meso_significant	macro_significant	micro_meso_class	meso_macro_class	direction_supported	onset_order_supported	path_classification	reason	micro_semantic_name	meso_semantic_name	macro_semantic_name	row	path_code	row_label	parameter_label	holdout_classification	holdout_confirmed	display_holdout_star	root_manipulation_display	micro_meso_scope	micro_meso_display	meso_macro_scope	meso_macro_display	parameter_marker
schelling	dest_minus_dest_sim_to_dest_std_to_global_unhappy	destination_preference	minus	macro_outcome_macro_global_unhappy_fraction	mean_destination_similarity_movers	meso_district_destination_similarity_std	macro_global_unhappy_fraction	True	True	True	True	True	supported	inconclusive	False	False	contradicted	frozen_response_direction_contradicted	Mean destination similarity among movers	Between-district standard deviation of destination similarity	Global unsatisfied fraction	0	S01	S01  Dest−	Dest−	not_evaluated	False	False	supported	direct_root	supported	upstream_mediated	inconclusive	s
schelling	dest_minus_dest_sim_to_move_std_to_components	destination_preference	minus	macro_outcome_macro_global_connected_components	mean_destination_similarity_movers	meso_district_move_distance_std	macro_global_connected_components	True	True	True	True	True	supported	inconclusive	False	False	contradicted	frozen_response_direction_contradicted	Mean destination similarity among movers	Between-district standard deviation of mean move distance	Count of same-group spatial components	1	S02	S02  Dest−	Dest−	not_evaluated	False	False	supported	direct_root	supported	upstream_mediated	inconclusive	s
schelling	dest_plus_dest_sim_to_boundary_std_to_global_unhappy	destination_preference	plus	macro_outcome_macro_global_unhappy_fraction	mean_destination_similarity_movers	meso_district_boundary_fraction_std	macro_global_unhappy_fraction	True	False	False	False	False	manipulation_failure	manipulation_failure	False	False	manipulation_failure	required_micro_manipulation_failed	Mean destination similarity among movers	Between-district standard deviation of boundary-agent fraction	Global unsatisfied fraction	2	S03	S03  Dest+	Dest+	not_evaluated	False	False	manipulation_failure	direct_root	manipulation_failure	upstream_mediated	manipulation_failure	s
schelling	dest_plus_dest_sim_to_dest_std_to_spatial_sim	destination_preference	plus	macro_outcome_macro_global_spatial_neighbor_similarity	mean_destination_similarity_movers	meso_district_destination_similarity_std	macro_global_spatial_neighbor_similarity	True	False	False	False	False	manipulation_failure	manipulation_failure	False	False	manipulation_failure	required_micro_manipulation_failed	Mean destination similarity among movers	Between-district standard deviation of destination similarity	Global spatial neighbour similarity	3	S04	S04  Dest+	Dest+	not_evaluated	False	False	manipulation_failure	direct_root	manipulation_failure	upstream_mediated	manipulation_failure	s
schelling	dest_plus_dest_sim_to_group_entropy_to_components	destination_preference	plus	macro_outcome_macro_global_connected_components	mean_destination_similarity_movers	meso_district_group_entropy_mean	macro_global_connected_components	True	False	False	False	False	manipulation_failure	manipulation_failure	False	False	manipulation_failure	required_micro_manipulation_failed	Mean destination similarity among movers	Mean district group-composition entropy	Count of same-group spatial components	4	S05	S05  Dest+	Dest+	not_evaluated	False	False	manipulation_failure	direct_root	manipulation_failure	upstream_mediated	manipulation_failure	s
schelling	move_minus_moved_to_boundary_std_to_components	move_probability	minus	macro_outcome_macro_global_connected_components	moved_fraction	meso_district_boundary_fraction_std	macro_global_connected_components	True	True	True	False	True	no_stable_downstream_effect	no_stable_downstream_effect	False	True	inconclusive	required_multiscale_response_not_stable	Fraction of agents relocating	Between-district standard deviation of boundary-agent fraction	Count of same-group spatial components	5	S06	S06  Move−	Move−	not_evaluated	False	False	supported	direct_root	inconclusive	upstream_mediated	inconclusive	s
schelling	move_minus_response_to_unhappy_std_to_global_unhappy	move_probability	minus	macro_outcome_macro_global_unhappy_fraction	relocation_response_fraction	meso_district_unhappy_fraction_std	macro_global_unhappy_fraction	True	False	False	True	True	manipulation_failure	manipulation_failure	True	False	manipulation_failure	required_micro_manipulation_failed	Relocation response fraction	Between-district standard deviation of unsatisfied fraction	Global unsatisfied fraction	6	S07	S07  Move−	Move−	not_evaluated	False	False	manipulation_failure	direct_root	manipulation_failure	upstream_mediated	manipulation_failure	s
schelling	move_plus_moved_to_dest_std_to_spatial_sim	move_probability	plus	macro_outcome_macro_global_spatial_neighbor_similarity	moved_fraction	meso_district_destination_similarity_std	macro_global_spatial_neighbor_similarity	True	True	True	True	True	supported	supported	False	True	contradicted	frozen_response_direction_contradicted	Fraction of agents relocating	Between-district standard deviation of destination similarity	Global spatial neighbour similarity	7	S08	S08  Move+	Move+	not_evaluated	False	False	supported	direct_root	supported	upstream_mediated	supported	s
schelling	move_plus_moved_to_neighbour_std_to_global_unhappy	move_probability	plus	macro_outcome_macro_global_unhappy_fraction	moved_fraction	meso_district_neighbour_count_std	macro_global_unhappy_fraction	True	True	True	False	True	no_stable_downstream_effect	no_stable_downstream_effect	False	False	inconclusive	required_multiscale_response_not_stable	Fraction of agents relocating	Between-district standard deviation of mean neighbour count	Global unsatisfied fraction	8	S09	S09  Move+	Move+	not_evaluated	False	False	supported	direct_root	inconclusive	upstream_mediated	inconclusive	s
schelling	move_plus_response_to_move_std_to_global_moved	move_probability	plus	macro_outcome_macro_global_moved_fraction	relocation_response_fraction	meso_district_move_fraction_std	macro_global_moved_fraction	True	False	False	True	True	manipulation_failure	manipulation_failure	False	True	manipulation_failure	required_micro_manipulation_failed	Relocation response fraction	Between-district standard deviation of moving fraction	Global relocation fraction	9	S10	S10  Move+	Move+	not_evaluated	False	False	manipulation_failure	direct_root	manipulation_failure	upstream_mediated	manipulation_failure	s
schelling	tol_minus_unhappy_to_move_std_to_spatial_sim	tolerance	minus	macro_outcome_macro_global_spatial_neighbor_similarity	unhappy_fraction	meso_district_move_fraction_std	macro_global_spatial_neighbor_similarity	True	True	True	True	True	supported	supported	True	True	supported	all_stage3_v2_hard_criteria_supported	Fraction of unsatisfied agents	Between-district standard deviation of moving fraction	Global spatial neighbour similarity	10	S11	S11  Tol−	Tol−	confirmed	True	True	supported	direct_root	supported	upstream_mediated	supported	s
schelling	tol_minus_unhappy_to_unhappy_std_to_components	tolerance	minus	macro_outcome_macro_global_connected_components	unhappy_fraction	meso_district_unhappy_fraction_std	macro_global_connected_components	True	True	True	True	True	supported	supported	True	True	supported	all_stage3_v2_hard_criteria_supported	Fraction of unsatisfied agents	Between-district standard deviation of unsatisfied fraction	Count of same-group spatial components	11	S12	S12  Tol−	Tol−	confirmed	True	True	supported	direct_root	supported	upstream_mediated	supported	s
schelling	tol_plus_unhappy_to_dest_std_to_components	tolerance	plus	macro_outcome_macro_global_connected_components	unhappy_fraction	meso_district_destination_similarity_std	macro_global_connected_components	True	True	True	True	False	supported	no_stable_downstream_effect	True	True	inconclusive	required_multiscale_response_not_stable	Fraction of unsatisfied agents	Between-district standard deviation of destination similarity	Count of same-group spatial components	12	S13	S13  Tol+	Tol+	not_evaluated	False	False	supported	direct_root	supported	upstream_mediated	inconclusive	s
schelling	tol_plus_unhappy_to_group_entropy_to_components	tolerance	plus	macro_outcome_macro_global_connected_components	unhappy_fraction	meso_district_group_entropy_mean	macro_global_connected_components	True	True	True	False	False	no_stable_downstream_effect	no_stable_downstream_effect	True	False	inconclusive	required_multiscale_response_not_stable	Fraction of unsatisfied agents	Mean district group-composition entropy	Count of same-group spatial components	13	S14	S14  Tol+	Tol+	not_evaluated	False	False	supported	direct_root	inconclusive	upstream_mediated	inconclusive	s
schelling	tol_plus_unhappy_to_move_std_to_global_moved	tolerance	plus	macro_outcome_macro_global_moved_fraction	unhappy_fraction	meso_district_move_fraction_std	macro_global_moved_fraction	True	True	True	True	True	supported	supported	True	True	supported	all_stage3_v2_hard_criteria_supported	Fraction of unsatisfied agents	Between-district standard deviation of moving fraction	Global relocation fraction	14	S15	S15  Tol+	Tol+	inconclusive	False	False	supported	direct_root	supported	upstream_mediated	supported	s
deffuant	as_minus_shift_ovar_gvar	assimilation_strength	minus	macro_outcome_macro_opinion_global_variance	micro_mean_abs_agent_shift	meso_neighborhood_opinion_variance	macro_opinion_global_variance	True	False	False	True	False	manipulation_failure	manipulation_failure	True	True	manipulation_failure	required_micro_manipulation_failed	Mean absolute opinion update	Mean neighborhood opinion variance	Whole-system opinion variance	0	D01	D01  AS−	AS−	not_evaluated	False	False	manipulation_failure	direct_root	manipulation_failure	upstream_mediated	manipulation_failure	s
