panel	source_file	source_row	scenario	factor	x_column	x	metric	repetition	value
a	analysis/observation_robustness.csv	32	deffuant	observation_noise	noise_level	0.0	temporal_qualification_rate	0	0.5714285714285714
a	analysis/observation_robustness.csv	33	deffuant	observation_noise	noise_level	0.0	temporal_qualification_rate	1	0.5714285714285714
a	analysis/observation_robustness.csv	34	deffuant	observation_noise	noise_level	0.0	temporal_qualification_rate	2	0.5714285714285714
a	analysis/observation_robustness.csv	35	deffuant	observation_noise	noise_level	0.0	temporal_qualification_rate	3	0.5714285714285714
a	analysis/observation_robustness.csv	36	deffuant	observation_noise	noise_level	0.0	temporal_qualification_rate	4	0.5714285714285714
a	analysis/observation_robustness.csv	37	deffuant	observation_noise	noise_level	0.0	temporal_qualification_rate	5	0.5714285714285714
a	analysis/observation_robustness.csv	38	deffuant	observation_noise	noise_level	0.0	temporal_qualification_rate	6	0.5714285714285714
a	analysis/observation_robustness.csv	39	deffuant	observation_noise	noise_level	0.0	temporal_qualification_rate	7	0.5714285714285714
a	analysis/observation_robustness.csv	40	deffuant	observation_noise	noise_level	0.05	temporal_qualification_rate	0	0.5
a	analysis/observation_robustness.csv	41	deffuant	observation_noise	noise_level	0.05	temporal_qualification_rate	1	0.6428571428571429
a	analysis/observation_robustness.csv	42	deffuant	observation_noise	noise_level	0.05	temporal_qualification_rate	2	0.5
a	analysis/observation_robustness.csv	43	deffuant	observation_noise	noise_level	0.05	temporal_qualification_rate	3	0.5357142857142857
a	analysis/observation_robustness.csv	44	deffuant	observation_noise	noise_level	0.05	temporal_qualification_rate	4	0.4285714285714285
a	analysis/observation_robustness.csv	45	deffuant	observation_noise	noise_level	0.05	temporal_qualification_rate	5	0.4642857142857143
a	analysis/observation_robustness.csv	46	deffuant	observation_noise	noise_level	0.05	temporal_qualification_rate	6	0.5714285714285714
a	analysis/observation_robustness.csv	47	deffuant	observation_noise	noise_level	0.05	temporal_qualification_rate	7	0.5
a	analysis/observation_robustness.csv	48	deffuant	observation_noise	noise_level	0.1	temporal_qualification_rate	0	0.4642857142857143
a	analysis/observation_robustness.csv	49	deffuant	observation_noise	noise_level	0.1	temporal_qualification_rate	1	0.5
a	analysis/observation_robustness.csv	50	deffuant	observation_noise	noise_level	0.1	temporal_qualification_rate	2	0.4285714285714285
a	analysis/observation_robustness.csv	51	deffuant	observation_noise	noise_level	0.1	temporal_qualification_rate	3	0.5714285714285714
a	analysis/observation_robustness.csv	52	deffuant	observation_noise	noise_level	0.1	temporal_qualification_rate	4	0.4642857142857143
a	analysis/observation_robustness.csv	53	deffuant	observation_noise	noise_level	0.1	temporal_qualification_rate	5	0.6785714285714286
a	analysis/observation_robustness.csv	54	deffuant	observation_noise	noise_level	0.1	temporal_qualification_rate	6	0.3571428571428571
a	analysis/observation_robustness.csv	55	deffuant	observation_noise	noise_level	0.1	temporal_qualification_rate	7	0.4642857142857143
a	analysis/observation_robustness.csv	56	deffuant	observation_noise	noise_level	0.2	temporal_qualification_rate	0	0.4642857142857143
a	analysis/observation_robustness.csv	57	deffuant	observation_noise	noise_level	0.2	temporal_qualification_rate	1	0.5714285714285714
a	analysis/observation_robustness.csv	58	deffuant	observation_noise	noise_level	0.2	temporal_qualification_rate	2	0.5
a	analysis/observation_robustness.csv	59	deffuant	observation_noise	noise_level	0.2	temporal_qualification_rate	3	0.5
a	analysis/observation_robustness.csv	60	deffuant	observation_noise	noise_level	0.2	temporal_qualification_rate	4	0.5357142857142857
a	analysis/observation_robustness.csv	61	deffuant	observation_noise	noise_level	0.2	temporal_qualification_rate	5	0.4642857142857143
a	analysis/observation_robustness.csv	62	deffuant	observation_noise	noise_level	0.2	temporal_qualification_rate	6	0.4285714285714285
a	analysis/observation_robustness.csv	63	deffuant	observation_noise	noise_level	0.2	temporal_qualification_rate	7	0.4642857142857143
a	analysis/observation_robustness.csv	136	schelling	observation_noise	noise_level	0.0	temporal_qualification_rate	0	0.9655172413793104
a	analysis/observation_robustness.csv	137	schelling	observation_noise	noise_level	0.0	temporal_qualification_rate	1	0.9655172413793104
a	analysis/observation_robustness.csv	138	schelling	observation_noise	noise_level	0.0	temporal_qualification_rate	2	0.9655172413793104
a	analysis/observation_robustness.csv	139	schelling	observation_noise	noise_level	0.0	temporal_qualification_rate	3	0.9655172413793104
a	analysis/observation_robustness.csv	140	schelling	observation_noise	noise_level	0.0	temporal_qualification_rate	4	0.9655172413793104
a	analysis/observation_robustness.csv	141	schelling	observation_noise	noise_level	0.0	temporal_qualification_rate	5	0.9655172413793104
a	analysis/observation_robustness.csv	142	schelling	observation_noise	noise_level	0.0	temporal_qualification_rate	6	0.9655172413793104
a	analysis/observation_robustness.csv	143	schelling	observation_noise	noise_level	0.0	temporal_qualification_rate	7	0.9655172413793104
a	analysis/observation_robustness.csv	144	schelling	observation_noise	noise_level	0.05	temporal_qualification_rate	0	0.8275862068965517
a	analysis/observation_robustness.csv	145	schelling	observation_noise	noise_level	0.05	temporal_qualification_rate	1	0.8275862068965517
a	analysis/observation_robustness.csv	146	schelling	observation_noise	noise_level	0.05	temporal_qualification_rate	2	0.7586206896551724
a	analysis/observation_robustness.csv	147	schelling	observation_noise	noise_level	0.05	temporal_qualification_rate	3	0.8620689655172413
a	analysis/observation_robustness.csv	148	schelling	observation_noise	noise_level	0.05	temporal_qualification_rate	4	0.7931034482758621
a	analysis/observation_robustness.csv	149	schelling	observation_noise	noise_level	0.05	temporal_qualification_rate	5	0.8620689655172413
a	analysis/observation_robustness.csv	150	schelling	observation_noise	noise_level	0.05	temporal_qualification_rate	6	0.7931034482758621
a	analysis/observation_robustness.csv	151	schelling	observation_noise	noise_level	0.05	temporal_qualification_rate	7	0.896551724137931
a	analysis/observation_robustness.csv	152	schelling	observation_noise	noise_level	0.1	temporal_qualification_rate	0	0.7931034482758621
a	analysis/observation_robustness.csv	153	schelling	observation_noise	noise_level	0.1	temporal_qualification_rate	1	0.6896551724137931
a	analysis/observation_robustness.csv	154	schelling	observation_noise	noise_level	0.1	temporal_qualification_rate	2	0.7586206896551724
a	analysis/observation_robustness.csv	155	schelling	observation_noise	noise_level	0.1	temporal_qualification_rate	3	0.8275862068965517
a	analysis/observation_robustness.csv	156	schelling	observation_noise	noise_level	0.1	temporal_qualification_rate	4	0.6896551724137931
a	analysis/observation_robustness.csv	157	schelling	observation_noise	noise_level	0.1	temporal_qualification_rate	5	0.7241379310344828
a	analysis/observation_robustness.csv	158	schelling	observation_noise	noise_level	0.1	temporal_qualification_rate	6	0.6896551724137931
a	analysis/observation_robustness.csv	159	schelling	observation_noise	noise_level	0.1	temporal_qualification_rate	7	0.8620689655172413
a	analysis/observation_robustness.csv	160	schelling	observation_noise	noise_level	0.2	temporal_qualification_rate	0	0.7586206896551724
a	analysis/observation_robustness.csv	161	schelling	observation_noise	noise_level	0.2	temporal_qualification_rate	1	0.6206896551724138
a	analysis/observation_robustness.csv	162	schelling	observation_noise	noise_level	0.2	temporal_qualification_rate	2	0.6896551724137931
a	analysis/observation_robustness.csv	163	schelling	observation_noise	noise_level	0.2	temporal_qualification_rate	3	0.7241379310344828
a	analysis/observation_robustness.csv	164	schelling	observation_noise	noise_level	0.2	temporal_qualification_rate	4	0.6551724137931034
a	analysis/observation_robustness.csv	165	schelling	observation_noise	noise_level	0.2	temporal_qualification_rate	5	0.7586206896551724
a	analysis/observation_robustness.csv	166	schelling	observation_noise	noise_level	0.2	temporal_qualification_rate	6	0.6896551724137931
a	analysis/observation_robustness.csv	167	schelling	observation_noise	noise_level	0.2	temporal_qualification_rate	7	0.7931034482758621
b	analysis/observation_robustness.csv	32	deffuant	observation_noise	noise_level	0.0	stability	0	0.9291666666666668
b	analysis/observation_robustness.csv	33	deffuant	observation_noise	noise_level	0.0	stability	1	0.9458333333333332
b	analysis/observation_robustness.csv	34	deffuant	observation_noise	noise_level	0.0	stability	2	0.94375
b	analysis/observation_robustness.csv	35	deffuant	observation_noise	noise_level	0.0	stability	3	0.9458333333333332
b	analysis/observation_robustness.csv	36	deffuant	observation_noise	noise_level	0.0	stability	4	0.9395833333333332
b	analysis/observation_robustness.csv	37	deffuant	observation_noise	noise_level	0.0	stability	5	0.9354166666666668
b	analysis/observation_robustness.csv	38	deffuant	observation_noise	noise_level	0.0	stability	6	0.9625
b	analysis/observation_robustness.csv	39	deffuant	observation_noise	noise_level	0.0	stability	7	0.9479166666666669
b	analysis/observation_robustness.csv	40	deffuant	observation_noise	noise_level	0.05	stability	0	0.9261904761904765
b	analysis/observation_robustness.csv	41	deffuant	observation_noise	noise_level	0.05	stability	1	0.9296296296296296
b	analysis/observation_robustness.csv	42	deffuant	observation_noise	noise_level	0.05	stability	2	0.9380952380952382
b	analysis/observation_robustness.csv	43	deffuant	observation_noise	noise_level	0.05	stability	3	0.9044444444444444
b	analysis/observation_robustness.csv	44	deffuant	observation_noise	noise_level	0.05	stability	4	0.9222222222222222
b	analysis/observation_robustness.csv	45	deffuant	observation_noise	noise_level	0.05	stability	5	0.935897435897436
b	analysis/observation_robustness.csv	46	deffuant	observation_noise	noise_level	0.05	stability	6	0.91875
b	analysis/observation_robustness.csv	47	deffuant	observation_noise	noise_level	0.05	stability	7	0.8666666666666669
b	analysis/observation_robustness.csv	48	deffuant	observation_noise	noise_level	0.1	stability	0	0.917948717948718
b	analysis/observation_robustness.csv	49	deffuant	observation_noise	noise_level	0.1	stability	1	0.9190476190476192
b	analysis/observation_robustness.csv	50	deffuant	observation_noise	noise_level	0.1	stability	2	0.927777777777778
b	analysis/observation_robustness.csv	51	deffuant	observation_noise	noise_level	0.1	stability	3	0.9041666666666668
b	analysis/observation_robustness.csv	52	deffuant	observation_noise	noise_level	0.1	stability	4	0.9307692307692308
b	analysis/observation_robustness.csv	53	deffuant	observation_noise	noise_level	0.1	stability	5	0.892982456140351
b	analysis/observation_robustness.csv	54	deffuant	observation_noise	noise_level	0.1	stability	6	0.9366666666666668
b	analysis/observation_robustness.csv	55	deffuant	observation_noise	noise_level	0.1	stability	7	0.9205128205128208
b	analysis/observation_robustness.csv	56	deffuant	observation_noise	noise_level	0.2	stability	0	0.9000000000000001
b	analysis/observation_robustness.csv	57	deffuant	observation_noise	noise_level	0.2	stability	1	0.9291666666666668
b	analysis/observation_robustness.csv	58	deffuant	observation_noise	noise_level	0.2	stability	2	0.9190476190476192
b	analysis/observation_robustness.csv	59	deffuant	observation_noise	noise_level	0.2	stability	3	0.911904761904762
b	analysis/observation_robustness.csv	60	deffuant	observation_noise	noise_level	0.2	stability	4	0.9377777777777776
b	analysis/observation_robustness.csv	61	deffuant	observation_noise	noise_level	0.2	stability	5	0.9384615384615383
b	analysis/observation_robustness.csv	62	deffuant	observation_noise	noise_level	0.2	stability	6	0.9055555555555556
b	analysis/observation_robustness.csv	63	deffuant	observation_noise	noise_level	0.2	stability	7	0.9076923076923078
b	analysis/observation_robustness.csv	136	schelling	observation_noise	noise_level	0.0	stability	0	0.9714285714285714
b	analysis/observation_robustness.csv	137	schelling	observation_noise	noise_level	0.0	stability	1	0.969047619047619
b	analysis/observation_robustness.csv	138	schelling	observation_noise	noise_level	0.0	stability	2	0.963095238095238
b	analysis/observation_robustness.csv	139	schelling	observation_noise	noise_level	0.0	stability	3	0.9761904761904762
b	analysis/observation_robustness.csv	140	schelling	observation_noise	noise_level	0.0	stability	4	0.9702380952380952
