panel	scenario	variant	metric	value	defined	display_y	source_file
a	schelling	full_method	stability	0.9732142857142856	True	-0.12	analysis/functional_ablations.csv
a	schelling	without_joint_trajectories	stability	NA	False	0.88	analysis/functional_ablations.csv
a	schelling	without_bootstrap	stability	NA	False	1.88	analysis/functional_ablations.csv
a	schelling	without_structured_representation	stability	0.9432193158953722	True	2.88	analysis/functional_ablations.csv
a	schelling	without_paired_seeds	stability	0.9732142857142856	True	3.88	analysis/functional_ablations.csv
a	deffuant	full_method	stability	0.93	True	0.12	analysis/functional_ablations.csv
a	deffuant	without_joint_trajectories	stability	NA	False	1.12	analysis/functional_ablations.csv
a	deffuant	without_bootstrap	stability	NA	False	2.12	analysis/functional_ablations.csv
a	deffuant	without_structured_representation	stability	0.8733962264150943	True	3.12	analysis/functional_ablations.csv
a	deffuant	without_paired_seeds	stability	0.93	True	4.12	analysis/functional_ablations.csv
b	schelling	full_method	intervention_support_rate	0.5357142857142857	True	-0.12	analysis/functional_ablations.csv
b	schelling	without_joint_trajectories	intervention_support_rate	0.5416666666666666	True	0.88	analysis/functional_ablations.csv
b	schelling	without_bootstrap	intervention_support_rate	0.5357142857142857	True	1.88	analysis/functional_ablations.csv
b	schelling	without_structured_representation	intervention_support_rate	0.5277777777777778	True	2.88	analysis/functional_ablations.csv
b	schelling	without_paired_seeds	intervention_support_rate	0.5357142857142857	True	3.88	analysis/functional_ablations.csv
b	deffuant	full_method	intervention_support_rate	0.5625	True	0.12	analysis/functional_ablations.csv
b	deffuant	without_joint_trajectories	intervention_support_rate	0.5555555555555556	True	1.12	analysis/functional_ablations.csv
b	deffuant	without_bootstrap	intervention_support_rate	0.5625	True	2.12	analysis/functional_ablations.csv
b	deffuant	without_structured_representation	intervention_support_rate	0.5294117647058824	True	3.12	analysis/functional_ablations.csv
b	deffuant	without_paired_seeds	intervention_support_rate	0.4375	True	4.12	analysis/functional_ablations.csv
c	schelling	full_method	mean_ci_width	0.3005747389776121	True	-0.12	analysis/functional_ablations.csv
c	schelling	without_joint_trajectories	mean_ci_width	0.3005747389776121	True	0.88	analysis/functional_ablations.csv
c	schelling	without_bootstrap	mean_ci_width	0.3005747389776121	True	1.88	analysis/functional_ablations.csv
c	schelling	without_structured_representation	mean_ci_width	0.3005747389776121	True	2.88	analysis/functional_ablations.csv
c	schelling	without_paired_seeds	mean_ci_width	0.3610349523381005	True	3.88	analysis/functional_ablations.csv
c	deffuant	full_method	mean_ci_width	0.2643817368863021	True	0.12	analysis/functional_ablations.csv
c	deffuant	without_joint_trajectories	mean_ci_width	0.2643817368863021	True	1.12	analysis/functional_ablations.csv
c	deffuant	without_bootstrap	mean_ci_width	0.2643817368863021	True	2.12	analysis/functional_ablations.csv
c	deffuant	without_structured_representation	mean_ci_width	0.2643817368863021	True	3.12	analysis/functional_ablations.csv
c	deffuant	without_paired_seeds	mean_ci_width	0.4512829690084134	True	4.12	analysis/functional_ablations.csv
